Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,1,"Smith, Heaven",1,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,ALBERTUS_WBB
Elms,2,"Guerrier, Phonia",1,0.0,0.0,0,0.0,0,0,0,0.0,0,0,1,1,0,0,0,1,1,0,0.0,100.0,,,ALBERTUS_WBB
Elms,4,"Pacheco, Mia",2,0.0,0.0,0,0.0,0,0,1,2.0,50,0,0,0,0,1,0,1,0,1,0.0,53.19,,inf,ALBERTUS_WBB
Elms,10,"Turco, Mary",23,4.0,11.0,36.4,0.0,0,0,8,11.0,72.7,6,7,13,1,1,0,4,4,16,18.75,20.16,36.36,100.0,ALBERTUS_WBB
Elms,11,"Wasiewicz, Gabby",10,0.0,4.0,0,0.0,3,0,0,0.0,0,0,1,1,0,0,0,1,1,0,0.0,20.0,0.0,0.0,ALBERTUS_WBB
Elms,12,"Lewis, Jade",30,4.0,9.0,44.4,2.0,4,50,5,8.0,62.5,1,2,3,0,0,0,4,2,15,3.7,24.21,55.56,88.89,ALBERTUS_WBB
Elms,13,"Uribe, Talia",25,3.0,6.0,50,0.0,1,0,2,2.0,100,1,3,4,0,2,0,1,4,8,3.7,12.69,50.0,33.33,ALBERTUS_WBB
Elms,14,"Gorski, Jenny",22,4.0,6.0,66.7,0.0,0,0,1,2.0,50,3,5,8,3,1,0,0,1,9,10.34,0.0,66.67,33.33,ALBERTUS_WBB
Elms,15,"Barron, Shea",16,2.0,4.0,50,2.0,3,66.7,0,0.0,0,0,1,1,0,0,0,1,1,6,0.0,20.0,75.0,0.0,ALBERTUS_WBB
Elms,20,"LeBel, Kelly",6,0.0,2.0,0,0.0,2,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,33.33,0.0,0.0,ALBERTUS_WBB
Elms,22,"Johnston, Rahmia",33,5.0,10.0,50,0.0,3,0,4,4.0,100,1,8,9,6,1,0,5,3,14,3.7,29.83,50.0,40.0,ALBERTUS_WBB
Elms,23,"Graham, Piper",23,0.0,7.0,0,0.0,4,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0.0,12.5,0.0,0.0,ALBERTUS_WBB
Elms,24,"Andrade, Sophia",5,0.0,0.0,0,0.0,0,0,0,0.0,0,1,0,1,0,0,0,2,1,0,3.7,100.0,,,ALBERTUS_WBB
Elms,44,"Mildner, Stephanie",2,0.0,0.0,0,0.0,0,0,0,0.0,0,0,1,1,1,0,0,0,0,0,0.0,,,,ALBERTUS_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,2,1,3,,,,0,0,,7.14,,,,ALBERTUS_WBB
Albertus Magnus,0,"White, Diamond",25,4.0,11.0,36.4,1.0,3,33.3,1,3.0,33.3,0,0,0,3,1,0,0,1,10,0.0,0.0,40.91,27.27,ALBERTUS_WBB
Albertus Magnus,1,"Zdru, Amanda",20,4.0,8.0,50,2.0,5,40,0,0.0,0,0,2,2,2,0,0,2,1,10,0.0,20.0,62.5,0.0,ALBERTUS_WBB
Albertus Magnus,2,"Evangelista, Sarah",15,0.0,2.0,0,0.0,2,0,0,0.0,0,0,1,1,2,0,0,1,0,0,0.0,33.33,0.0,0.0,ALBERTUS_WBB
Albertus Magnus,3,"Bruno, Elizabeth",12,3.0,3.0,100,1.0,1,100,0,0.0,0,0,1,1,5,1,0,1,1,7,0.0,25.0,116.67,0.0,ALBERTUS_WBB
Albertus Magnus,4,"Isabella, Fiorillo",12,1.0,2.0,50,1.0,1,100,1,2.0,50,0,0,0,0,0,0,2,3,4,0.0,40.98,75.0,100.0,ALBERTUS_WBB
Albertus Magnus,5,"Mitchell, Jaelynn",6,1.0,1.0,100,0.0,0,0,0,0.0,0,0,1,1,0,0,0,0,2,2,0.0,0.0,100.0,0.0,ALBERTUS_WBB
Albertus Magnus,10,"Gaetano, Gabriella",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,ALBERTUS_WBB
Albertus Magnus,11,"Barrientos, Hannah",14,5.0,9.0,55.6,4.0,8,50,0,0.0,0,0,0,0,0,0,0,0,1,14,0.0,0.0,77.78,0.0,ALBERTUS_WBB
Albertus Magnus,12,"Gonzalez, Brooklyn",5,0.0,4.0,0,0.0,4,0,2,2.0,100,1,0,1,0,1,0,1,1,2,3.23,17.01,0.0,50.0,ALBERTUS_WBB
Albertus Magnus,13,"Scott, Caitlyn",28,6.0,15.0,40,4.0,5,80,0,0.0,0,1,8,9,4,1,0,3,1,16,3.23,16.67,53.33,0.0,ALBERTUS_WBB
Albertus Magnus,14,"Murray-Leach, Jakara",24,7.0,8.0,87.5,1.0,1,100,0,0.0,0,3,7,10,3,2,1,0,2,15,9.09,0.0,93.75,0.0,ALBERTUS_WBB
Albertus Magnus,22,"Keele, Sharaya",4,0.0,0.0,0,0.0,0,0,2,2.0,100,1,1,2,0,0,0,0,1,2,3.23,0.0,,inf,ALBERTUS_WBB
Albertus Magnus,24,"Williams, Jennae",3,0.0,1.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0.0,50.0,0.0,0.0,ALBERTUS_WBB
Albertus Magnus,32,"Ludlow, Willow",7,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0.0,100.0,,,ALBERTUS_WBB
Albertus Magnus,33,"Johnson, Ava",24,4.0,8.0,50,0.0,0,0,0,1.0,0,1,1,2,1,2,3,1,1,8,3.23,10.59,50.0,12.5,ALBERTUS_WBB
Albertus Magnus,34,"Carter, Jamily",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,ALBERTUS_WBB
Albertus Magnus,44,"Murphy, Ava",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,ALBERTUS_WBB
Albertus Magnus,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,2,4,6,,,,0,0,,6.25,,,,ALBERTUS_WBB
