Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",09:41,08:01,-3,01:40,1st Half,1.6666666666666665,-1.8,-45.0,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",08:01,06:54,-2,01:07,1st Half,1.1166666666666667,-1.79,-44.75,ALBERTUS_WBB
"('LEWIS,JADE', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'BARRON,SHEA')",06:54,05:37,-4,01:17,1st Half,1.2833333333333332,-3.12,-78.0,ALBERTUS_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",05:37,02:54,1,02:43,1st Half,2.716666666666667,0.37,9.25,ALBERTUS_WBB
"('WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",02:54,02:19,0,00:35,1st Half,0.5833333333333334,0.0,0.0,ALBERTUS_WBB
"('WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",02:19,01:39,2,00:40,1st Half,0.6666666666666666,3.0,75.0,ALBERTUS_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",01:39,01:02,2,00:37,1st Half,0.6166666666666667,3.24,81.0,ALBERTUS_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",01:02,09:39,2,08:37,2nd Half,8.616666666666667,0.23,5.75,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",09:39,05:52,1,03:47,2nd Half,3.783333333333333,0.26,6.5,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",05:52,05:29,2,00:23,2nd Half,0.38333333333333336,5.22,130.5,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",05:29,03:36,-3,01:53,2nd Half,1.8833333333333333,-1.59,-39.75,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",03:36,02:44,-5,00:52,2nd Half,0.8666666666666667,-5.77,-144.25,ALBERTUS_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'LEBEL,KELLY', 'URIBE,TALIA', 'GORSKI,JENNY')",02:44,02:17,-2,00:27,2nd Half,0.45,-4.44,-111.0,ALBERTUS_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",02:17,01:10,-2,01:07,2nd Half,1.1166666666666667,-1.79,-44.75,ALBERTUS_WBB
"('WASIEWICZ,GABBY', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",01:10,09:50,-2,08:40,2nd Half,8.666666666666666,-0.23,-5.75,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",09:50,05:22,-3,04:28,2nd Half,4.466666666666667,-0.67,-16.75,ALBERTUS_WBB
"('GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",05:22,04:33,3,00:49,2nd Half,0.8166666666666667,3.67,91.75,ALBERTUS_WBB
"('GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",04:33,03:47,0,00:46,2nd Half,0.7666666666666667,0.0,0.0,ALBERTUS_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",03:47,02:32,-8,01:15,2nd Half,1.25,-6.4,-160.0,ALBERTUS_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA')",02:32,02:01,0,00:31,2nd Half,0.5166666666666667,0.0,0.0,ALBERTUS_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'BARRON,SHEA', 'URIBE,TALIA')",02:01,00:21,0,01:40,2nd Half,1.6666666666666665,0.0,0.0,ALBERTUS_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'GORSKI,JENNY')",00:21,09:49,-1,09:28,2nd Half,9.466666666666667,-0.11,-2.75,ALBERTUS_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",09:49,08:55,1,00:54,2nd Half,0.9,1.11,27.75,ALBERTUS_WBB
"('LEWIS,JADE', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",08:55,06:52,-10,02:03,2nd Half,2.05,-4.88,-122.0,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",06:52,06:42,1,00:10,2nd Half,0.16666666666666666,6.0,150.0,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",06:42,05:38,4,01:04,2nd Half,1.0666666666666667,3.75,93.75,ALBERTUS_WBB
"('GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",05:38,03:43,5,01:55,2nd Half,1.9166666666666665,2.61,65.25,ALBERTUS_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'GORSKI,JENNY')",03:43,02:02,2,01:41,2nd Half,1.6833333333333333,1.19,29.75,ALBERTUS_WBB
