Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-61.75,-2.47,06:08,ALBERTUS_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-38.25,-1.53,04:54,ALBERTUS_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-78.0,-3.12,01:17,ALBERTUS_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",9.25,0.37,02:43,ALBERTUS_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'WASIEWICZ,GABBY')",0.0,0.0,00:35,ALBERTUS_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",75.0,3.0,00:40,ALBERTUS_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",81.0,3.24,00:37,ALBERTUS_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",5.75,0.23,08:37,ALBERTUS_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",-13.75,-0.55,01:15,ALBERTUS_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",110.25,4.41,02:03,ALBERTUS_WBB
"('GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-111.0,-4.44,00:27,ALBERTUS_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-44.75,-1.79,01:07,ALBERTUS_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-5.75,-0.23,08:40,ALBERTUS_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",91.75,3.67,00:49,ALBERTUS_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY')",65.25,2.61,02:41,ALBERTUS_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-160.0,-6.4,01:15,ALBERTUS_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",0.0,0.0,00:31,ALBERTUS_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",0.0,0.0,01:40,ALBERTUS_WBB
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-2.75,-0.11,09:28,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",27.75,1.11,00:54,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-122.0,-4.88,02:03,ALBERTUS_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",93.75,3.75,01:04,ALBERTUS_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY')",29.75,1.19,01:41,ALBERTUS_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'PACHECO,MIA', 'TURCO,MARY')",115.5,4.62,00:26,ALBERTUS_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",0.0,0.0,00:22,ALBERTUS_WBB
"('ANDRADE,SOPHIA', 'GUERRIER,PHONIA', 'MILDNER,STEPHANIE', 'PACHECO,MIA', 'SMITH,HEAVEN')",-25.75,-1.03,00:58,ALBERTUS_WBB
