Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",-45.0,-1.8,01:40,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",-44.75,-1.79,01:07,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE')",-78.0,-3.12,01:17,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",9.25,0.37,02:43,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'BARRON,SHEA')",0.0,0.0,00:35,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'TURCO,MARY')",75.0,3.0,00:40,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",81.0,3.24,00:37,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'GRAHAM,PIPER')",5.75,0.23,08:37,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",6.5,0.26,03:47,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'GRAHAM,PIPER')",130.5,5.22,00:23,ALBERTUS_WBB
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",-39.75,-1.59,01:53,ALBERTUS_WBB
