Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",09:40,05:52,-11,03:48,1st Half,3.8,-2.89,-72.25,AMHERST_WBB
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA')",05:52,03:33,-3,02:19,1st Half,2.3166666666666664,-1.29,-32.25,AMHERST_WBB
"('URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",03:33,01:18,-1,02:15,1st Half,2.25,-0.44,-11.0,AMHERST_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'BARRON,SHEA')",01:18,05:11,-8,03:53,2nd Half,3.8833333333333333,-2.06,-51.5,AMHERST_WBB
"('PACHECO,MIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'GRAHAM,PIPER')",05:11,03:39,4,01:32,2nd Half,1.5333333333333332,2.61,65.25,AMHERST_WBB
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'GRAHAM,PIPER')",03:39,01:10,-3,02:29,2nd Half,2.4833333333333334,-1.21,-30.25,AMHERST_WBB
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'BARRON,SHEA', 'GRAHAM,PIPER')",01:10,05:38,-8,04:28,2nd Half,4.466666666666667,-1.79,-44.75,AMHERST_WBB
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'GORSKI,JENNY', 'BARRON,SHEA')",05:38,04:03,1,01:35,2nd Half,1.5833333333333335,0.63,15.75,AMHERST_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'GORSKI,JENNY', 'BARRON,SHEA')",04:03,02:34,-2,01:29,2nd Half,1.4833333333333334,-1.35,-33.75,AMHERST_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'BARRON,SHEA', 'GRAHAM,PIPER')",02:34,00:50,-1,01:44,2nd Half,1.7333333333333334,-0.58,-14.5,AMHERST_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'GRAHAM,PIPER')",00:50,10:00,-2,09:10,2nd Half,9.166666666666666,-0.22,-5.5,AMHERST_WBB
"('JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",10:00,05:59,-2,04:01,2nd Half,4.016666666666667,-0.5,-12.5,AMHERST_WBB
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'BARRON,SHEA')",05:59,00:30,-2,05:29,2nd Half,5.483333333333333,-0.36,-9.0,AMHERST_WBB
