Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY')",-72.25,-2.89,03:48,AMHERST_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'LEBEL,KELLY')",-32.25,-1.29,02:19,AMHERST_WBB
"('URIBE,TALIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",-11.0,-0.44,02:15,AMHERST_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'TURCO,MARY')",-51.5,-2.06,03:53,AMHERST_WBB
"('PACHECO,MIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'TURCO,MARY')",65.25,2.61,01:32,AMHERST_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY')",-30.25,-1.21,02:29,AMHERST_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'MILDNER,STEPHANIE', 'LEBEL,KELLY')",-44.75,-1.79,04:28,AMHERST_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'MILDNER,STEPHANIE', 'LEBEL,KELLY')",15.75,0.63,01:35,AMHERST_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'MILDNER,STEPHANIE')",-33.75,-1.35,01:29,AMHERST_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'MILDNER,STEPHANIE')",-14.5,-0.58,01:44,AMHERST_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'MILDNER,STEPHANIE')",-5.5,-0.22,09:10,AMHERST_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'MILDNER,STEPHANIE')",-12.5,-0.5,04:01,AMHERST_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'LEBEL,KELLY')",-9.0,-0.36,05:29,AMHERST_WBB
