Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Anna Maria,02,"Gonzalez,Airanna",30,1.0,5.0,,0.0,4,,0,0.0,,0,4,4,0,0,0,2,1,2,0.0,28.57,20.0,0.0,ANNA_MARIA_WBB
Anna Maria,03,"Bankhead,Tamyiah",10,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,ANNA_MARIA_WBB
Anna Maria,04,"O'Connor,Sarah",23,4.0,5.0,,1.0,1,,2,2.0,,2,0,2,1,3,0,1,1,11,9.09,14.53,90.0,40.0,ANNA_MARIA_WBB
Anna Maria,05,"Scott-Cummins,Sharayha",19,6.0,8.0,,2.0,3,,0,0.0,,1,0,1,3,2,0,1,2,14,4.76,11.11,87.5,0.0,ANNA_MARIA_WBB
Anna Maria,10,"Paulhus,Madison",33,7.0,17.0,,2.0,3,,3,4.0,,2,4,6,0,2,0,2,1,19,9.09,9.63,47.06,23.53,ANNA_MARIA_WBB
Anna Maria,11,"Franklin,Briana",3,0.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ANNA_MARIA_WBB
Anna Maria,23,"Reddin,Marinique",35,7.0,19.0,,1.0,3,,2,2.0,,2,2,4,5,5,1,7,0,17,9.09,26.04,39.47,10.53,ANNA_MARIA_WBB
Anna Maria,30,"Salazar,Tiffany",28,1.0,8.0,,1.0,5,,0,0.0,,2,2,4,4,3,0,2,2,3,9.09,20.0,18.75,0.0,ANNA_MARIA_WBB
Anna Maria,33,"Baxter,Hannah",6,1.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,1,0,0,0,2,0.0,0.0,100.0,0.0,ANNA_MARIA_WBB
Anna Maria,34,"Burdett,Megan",13,3.0,6.0,,0.0,0,,0,0.0,,2,1,3,0,0,0,2,1,6,9.09,25.0,50.0,0.0,ANNA_MARIA_WBB
Anna Maria,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,1,0,,0.0,100.0,,,ANNA_MARIA_WBB
Elms,10,"Turco,Mary",20,3.0,6.0,,0.0,0,,2,3.0,,4,4,8,0,0,2,2,4,8,22.22,21.46,50.0,50.0,ANNA_MARIA_WBB
Elms,11,"Wasiewicz,Gabby",11,2.0,7.0,,1.0,5,,0,0.0,,0,0,0,1,1,0,0,0,5,0.0,0.0,35.71,0.0,ANNA_MARIA_WBB
Elms,12,"Lewis,Jade",37,5.0,12.0,,2.0,6,,2,2.0,,1,5,6,1,2,0,11,3,14,6.67,46.06,50.0,16.67,ANNA_MARIA_WBB
Elms,13,"Uribe,Talia",31,0.0,8.0,,0.0,1,,2,2.0,,4,0,4,3,3,0,2,3,2,22.22,18.38,0.0,25.0,ANNA_MARIA_WBB
Elms,14,"Gorski,Jenny",22,8.0,10.0,,0.0,0,,0,2.0,,6,3,9,0,3,0,5,2,16,30.0,31.49,80.0,20.0,ANNA_MARIA_WBB
Elms,15,"Barron,Shea",12,1.0,3.0,,1.0,2,,0,0.0,,0,1,1,1,2,0,1,0,3,0.0,25.0,50.0,0.0,ANNA_MARIA_WBB
Elms,22,"Johnston,Rahmia",37,1.0,13.0,,0.0,6,,3,4.0,,2,5,7,5,1,0,4,3,5,12.5,21.32,7.69,30.77,ANNA_MARIA_WBB
Elms,23,"Graham,Piper",28,1.0,6.0,,0.0,2,,0,0.0,,1,2,3,2,1,1,3,0,2,6.67,33.33,16.67,0.0,ANNA_MARIA_WBB
Elms,24,"Andrade,Sophia",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,ANNA_MARIA_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,ANNA_MARIA_WBB
