Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",09:55,06:53,0,03:02,1st Half,3.033333333333333,0.0,0.0,ANNA_MARIA_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA')",06:53,06:28,0,00:25,1st Half,0.4166666666666667,0.0,0.0,ANNA_MARIA_WBB
"('LEWIS,JADE', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'BARRON,SHEA')",06:28,06:15,3,00:13,1st Half,0.21666666666666667,13.85,346.25,ANNA_MARIA_WBB
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",06:15,04:45,-2,01:30,1st Half,1.5,-1.33,-33.25,ANNA_MARIA_WBB
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",04:45,04:19,2,00:26,1st Half,0.43333333333333335,4.62,115.5,ANNA_MARIA_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA', 'GORSKI,JENNY')",04:19,04:10,-2,00:09,1st Half,0.15,-13.33,-333.25,ANNA_MARIA_WBB
"('GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",04:10,04:06,0,00:04,1st Half,0.06666666666666667,0.0,0.0,ANNA_MARIA_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",04:06,02:37,-4,01:29,1st Half,1.4833333333333334,-2.7,-67.5,ANNA_MARIA_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",02:37,01:05,2,01:32,1st Half,1.5333333333333332,1.3,32.5,ANNA_MARIA_WBB
"('GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA')",01:05,09:23,0,08:18,2nd Half,8.3,0.0,0.0,ANNA_MARIA_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'BARRON,SHEA')",09:23,09:23,0,00:00,2nd Half,0.0,,,ANNA_MARIA_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",09:23,07:26,-7,01:57,2nd Half,1.95,-3.59,-89.75,ANNA_MARIA_WBB
