Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-8,07:20,ANNA_MARIA_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0,00:25,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",1,00:51,ANNA_MARIA_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",-2,01:30,ANNA_MARIA_WBB
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",2,00:26,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-2,00:22,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",0,00:04,ANNA_MARIA_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-4,01:29,ANNA_MARIA_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",2,01:32,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",0,08:18,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0,00:00,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",-7,01:57,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",3,02:02,ANNA_MARIA_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-2,01:26,ANNA_MARIA_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",0,00:19,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",3,05:28,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-2,04:19,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY')",0,01:04,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-2,01:43,ANNA_MARIA_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE')",0,09:55,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0,00:07,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-1,07:46,ANNA_MARIA_WBB
