Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",0.0,0.0,03:02,ANNA_MARIA_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",0.0,0.0,00:25,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",346.25,13.85,00:13,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'JOHNSTON,RAHMIA')",-33.25,-1.33,01:30,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",115.5,4.62,00:26,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-333.25,-13.33,00:09,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",0.0,0.0,00:04,ANNA_MARIA_WBB
"('TURCO,MARY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-67.5,-2.7,01:29,ANNA_MARIA_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",32.5,1.3,01:32,ANNA_MARIA_WBB
"('BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",0.0,0.0,08:18,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'BARRON,SHEA', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",,,00:00,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-89.75,-3.59,01:57,ANNA_MARIA_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",0.0,0.0,00:16,ANNA_MARIA_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA')",-35.0,-1.4,01:26,ANNA_MARIA_WBB
"('LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",0.0,0.0,00:19,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-36.25,-1.45,02:04,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-103.5,-4.14,00:29,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",-107.25,-4.29,00:28,ANNA_MARIA_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-29.25,-1.17,01:43,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",83.25,3.33,00:36,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",0.0,0.0,09:55,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",44.0,1.76,03:24,ANNA_MARIA_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-8.75,-0.35,02:51,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",0.0,0.0,01:05,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",0.0,0.0,00:13,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0.0,0.0,00:07,ANNA_MARIA_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",-79.0,-3.16,00:38,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA')",-12.5,-0.5,06:01,ANNA_MARIA_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",0.0,0.0,02:45,ANNA_MARIA_WBB
"('LEWIS,JADE', 'BARRON,SHEA', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",42.5,1.7,01:46,ANNA_MARIA_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-120.75,-4.83,01:27,ANNA_MARIA_WBB
"('LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA')",28.5,1.14,01:45,ANNA_MARIA_WBB
