Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Colby-Sawyer,00,"Raymond,Delaney",8,1.0,2.0,,1.0,2,,2,2.0,,0,0,0,0,0,0,1,2,5,0.0,25.77,75.0,100.0,COLBY_SAWYER_WBB
Colby-Sawyer,01,"Durry,Tanner",8,2.0,3.0,,2.0,3,,2,2.0,,1,0,1,0,0,0,0,2,8,3.33,0.0,100.0,66.67,COLBY_SAWYER_WBB
Colby-Sawyer,02,"Daigle,Larissa",2,0.0,1.0,,0.0,1,,1,2.0,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,200.0,COLBY_SAWYER_WBB
Colby-Sawyer,03,"Chick,Catherine",21,5.0,8.0,,0.0,1,,1,4.0,,1,0,1,0,2,0,0,2,11,3.33,0.0,62.5,50.0,COLBY_SAWYER_WBB
Colby-Sawyer,04,"Holt,Marissa",22,3.0,6.0,,1.0,3,,1,2.0,,1,2,3,0,0,0,2,5,8,3.33,22.52,58.33,33.33,COLBY_SAWYER_WBB
Colby-Sawyer,05,"Greenan,Emma",9,0.0,2.0,,0.0,1,,0,0.0,,0,2,2,0,1,2,0,2,0,0.0,0.0,0.0,0.0,COLBY_SAWYER_WBB
Colby-Sawyer,11,"Grillone,Makenna",31,3.0,11.0,,1.0,6,,8,11.0,,1,4,5,1,2,0,4,3,15,3.33,20.16,31.82,100.0,COLBY_SAWYER_WBB
Colby-Sawyer,14,"Denis,Molly",5,0.0,1.0,,0.0,1,,0,0.0,,0,0,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0,COLBY_SAWYER_WBB
Colby-Sawyer,21,"Mitchell,Elyza",33,1.0,3.0,,0.0,1,,0,0.0,,0,6,6,2,4,0,3,3,2,0.0,50.0,33.33,0.0,COLBY_SAWYER_WBB
Colby-Sawyer,24,"Wilkins,Hayden",33,2.0,13.0,,0.0,4,,5,5.0,,1,3,4,3,4,0,3,1,9,3.33,16.48,15.38,38.46,COLBY_SAWYER_WBB
Colby-Sawyer,25,"Felker,Emma",4,0.0,1.0,,0.0,1,,0,0.0,,0,1,1,0,0,0,1,0,0,0.0,50.0,0.0,0.0,COLBY_SAWYER_WBB
Colby-Sawyer,30,"MacDonald,Lauren",24,2.0,7.0,,0.0,3,,0,4.0,,1,2,3,3,3,0,5,4,4,3.33,36.34,28.57,57.14,COLBY_SAWYER_WBB
Colby-Sawyer,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,1,0,1,,,,0,0,,3.33,,,,COLBY_SAWYER_WBB
Elms,10,"Turco,Mary",27,5.0,8.0,,0.0,0,,4,4.0,,1,5,6,1,0,0,4,4,14,4.76,29.07,62.5,50.0,COLBY_SAWYER_WBB
Elms,11,"Wasiewicz,Gabby",9,3.0,8.0,,2.0,6,,0,0.0,,0,0,0,0,0,0,1,4,8,0.0,11.11,50.0,0.0,COLBY_SAWYER_WBB
Elms,12,"Lewis,Jade",32,4.0,7.0,,0.0,1,,6,7.0,,1,4,5,4,2,0,9,3,14,4.76,47.17,57.14,100.0,COLBY_SAWYER_WBB
Elms,13,"Uribe,Talia",16,2.0,3.0,,0.0,0,,6,9.0,,0,4,4,1,2,0,0,5,10,0.0,0.0,66.67,300.0,COLBY_SAWYER_WBB
Elms,14,"Gorski,Jenny",17,2.0,4.0,,0.0,0,,1,4.0,,2,4,6,2,3,0,3,5,5,9.09,34.25,50.0,100.0,COLBY_SAWYER_WBB
Elms,15,"Barron,Shea",20,1.0,4.0,,1.0,3,,0,0.0,,1,1,2,0,1,1,1,1,3,4.76,20.0,37.5,0.0,COLBY_SAWYER_WBB
Elms,20,"LeBel,Kelly",2,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,COLBY_SAWYER_WBB
Elms,22,"Johnston,Rahmia",39,3.0,8.0,,0.0,3,,5,6.0,,3,9,12,2,0,0,5,4,11,13.04,31.97,37.5,75.0,COLBY_SAWYER_WBB
Elms,23,"Graham,Piper",32,1.0,6.0,,1.0,4,,3,4.0,,0,0,0,1,0,0,3,0,6,0.0,27.88,25.0,66.67,COLBY_SAWYER_WBB
Elms,24,"Andrade,Sophia",6,0.0,1.0,,0.0,0,,0,0.0,,0,2,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,COLBY_SAWYER_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,COLBY_SAWYER_WBB
