Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:51,06:51,2,03:00,1st Half,3.0,0.67,16.75,COLBY_SAWYER_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",06:51,05:15,0,01:36,1st Half,1.6,0.0,0.0,COLBY_SAWYER_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE')",05:15,04:27,0,00:48,1st Half,0.8,0.0,0.0,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",04:27,03:24,-2,01:03,1st Half,1.05,-1.9,-47.5,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY')",03:24,02:36,3,00:48,1st Half,0.8,3.75,93.75,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",02:36,01:23,3,01:13,1st Half,1.2166666666666668,2.47,61.75,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY')",01:23,00:21,1,01:02,1st Half,1.0333333333333334,0.97,24.25,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY')",00:21,09:47,-1,09:26,2nd Half,9.433333333333334,-0.11,-2.75,COLBY_SAWYER_WBB
"('URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:47,08:56,1,00:51,2nd Half,0.85,1.18,29.5,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY', 'TURCO,MARY')",08:56,08:02,0,00:54,2nd Half,0.9,0.0,0.0,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'LEBEL,KELLY')",08:02,07:42,0,00:20,2nd Half,0.3333333333333333,0.0,0.0,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY')",07:42,05:41,-1,02:01,2nd Half,2.0166666666666666,-0.5,-12.5,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'ANDRADE,SOPHIA', 'LEBEL,KELLY')",05:41,05:10,0,00:31,2nd Half,0.5166666666666667,0.0,0.0,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'ANDRADE,SOPHIA')",05:10,01:31,4,03:39,2nd Half,3.65,1.1,27.5,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA')",01:31,10:00,-3,08:29,2nd Half,8.483333333333333,-0.35,-8.75,COLBY_SAWYER_WBB
"('URIBE,TALIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'TURCO,MARY')",10:00,08:01,2,01:59,2nd Half,1.9833333333333334,1.01,25.25,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY', 'TURCO,MARY')",08:01,07:54,-1,00:07,2nd Half,0.11666666666666667,-8.57,-214.25,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'TURCO,MARY')",07:54,06:23,0,01:31,2nd Half,1.5166666666666666,0.0,0.0,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",06:23,03:51,-3,02:32,2nd Half,2.533333333333333,-1.18,-29.5,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",03:51,03:50,2,00:01,2nd Half,0.016666666666666666,120.0,3000.0,COLBY_SAWYER_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",03:50,02:37,0,01:13,2nd Half,1.2166666666666668,0.0,0.0,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",02:37,00:56,-2,01:41,2nd Half,1.6833333333333333,-1.19,-29.75,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",00:56,04:12,3,03:16,2nd Half,3.2666666666666666,0.92,23.0,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",04:12,02:30,-4,01:42,2nd Half,1.7,-2.35,-58.75,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",02:30,00:55,2,01:35,2nd Half,1.5833333333333335,1.26,31.5,COLBY_SAWYER_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",00:55,00:11,1,00:44,2nd Half,0.7333333333333333,1.36,34.0,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",00:11,00:00,1,00:11,2nd Half,0.18333333333333332,5.45,136.25,COLBY_SAWYER_WBB
