Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",3,03:44,COLBY_SAWYER_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",0,01:36,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",0,00:48,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-4,02:44,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",3,00:48,COLBY_SAWYER_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",3,01:13,COLBY_SAWYER_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",1,01:02,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-1,09:26,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",1,00:51,COLBY_SAWYER_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",0,00:54,COLBY_SAWYER_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY', 'WASIEWICZ,GABBY')",0,00:20,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY')",-1,02:01,COLBY_SAWYER_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY')",0,00:31,COLBY_SAWYER_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",4,03:39,COLBY_SAWYER_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY')",-3,08:29,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",2,01:59,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-1,00:07,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY')",0,01:31,COLBY_SAWYER_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-2,02:43,COLBY_SAWYER_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",5,03:17,COLBY_SAWYER_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0,01:13,COLBY_SAWYER_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-4,01:42,COLBY_SAWYER_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",2,01:35,COLBY_SAWYER_WBB
