Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",16.75,0.67,03:00,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",0.0,0.0,01:36,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'BARRON,SHEA')",0.0,0.0,00:48,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",-47.5,-1.9,01:03,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",93.75,3.75,00:48,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",61.75,2.47,01:13,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",24.25,0.97,01:02,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-2.75,-0.11,09:26,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA')",29.5,1.18,00:51,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",0.0,0.0,00:54,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",0.0,0.0,00:20,COLBY_SAWYER_WBB
"('GRAHAM,PIPER', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",-12.5,-0.5,02:01,COLBY_SAWYER_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",0.0,0.0,00:31,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",27.5,1.1,03:39,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",-8.75,-0.35,08:29,COLBY_SAWYER_WBB
"('GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA')",25.25,1.01,01:59,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",-214.25,-8.57,00:07,COLBY_SAWYER_WBB
"('GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",0.0,0.0,01:31,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",-29.5,-1.18,02:32,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",3000.0,120.0,00:01,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",0.0,0.0,01:13,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-29.75,-1.19,01:41,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",23.0,0.92,03:16,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-58.75,-2.35,01:42,COLBY_SAWYER_WBB
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",31.5,1.26,01:35,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",34.0,1.36,00:44,COLBY_SAWYER_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",136.25,5.45,00:11,COLBY_SAWYER_WBB
