Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,1,Heaven Smith,0,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,,,,Dean
Elms,2,Phonia Guerrier,1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,Dean
Elms,4,Mia Pacheco,3,0.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,2,0,0,0.0,66.67,0.0,0.0,Dean
Elms,10,Mary Turco,20,3.0,6.0,,0.0,0,,0,2.0,,4,4,8,3,1,1,4,5,6,14.81,36.76,50.0,33.33,Dean
Elms,11,Gabby Wasiewicz,8,3.0,5.0,,2.0,3,,0,0.0,,0,1,1,0,0,0,3,0,8,0.0,37.5,80.0,0.0,Dean
Elms,12,Jade Lewis,35,6.0,13.0,,0.0,4,,3,3.0,,3,5,8,6,2,0,6,3,15,11.54,29.53,46.15,23.08,Dean
Elms,13,Talia Uribe,24,4.0,9.0,,1.0,1,,1,2.0,,3,3,6,1,1,0,3,2,10,11.54,23.29,50.0,22.22,Dean
Elms,14,Jenny Gorski,14,2.0,2.0,,0.0,0,,0,0.0,,0,5,5,0,1,0,3,2,4,0.0,60.0,100.0,0.0,Dean
Elms,15,Shea Barron,15,0.0,4.0,,0.0,2,,0,0.0,,0,3,3,2,0,0,0,3,0,0.0,0.0,0.0,0.0,Dean
Elms,20,Kelly LeBel,7,0.0,2.0,,0.0,1,,0,0.0,,0,1,1,0,1,0,0,2,0,0.0,0.0,0.0,0.0,Dean
Elms,22,Rahmia Johnston,38,2.0,8.0,,1.0,5,,5,6.0,,0,10,10,5,3,0,2,3,10,0.0,15.82,31.25,75.0,Dean
Elms,23,Piper Graham,24,7.0,13.0,,6.0,10,,0,0.0,,0,1,1,0,2,0,1,1,20,0.0,7.14,76.92,0.0,Dean
Elms,24,Sophia Andrade,7,0.0,2.0,,0.0,1,,0,0.0,,0,0,0,0,0,0,1,1,0,0.0,33.33,0.0,0.0,Dean
Elms,32,Ta'Niyah Scott,2,0.0,0.0,,0.0,0,,0,0.0,,1,1,2,0,0,0,0,0,0,4.17,,,,Dean
Elms,44,Stephanie Mildner,1,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Dean
Elms,TM,Team,,0.0,0.0,,0.0,,,,0.0,,1,2,3,,,,0,0,0,4.17,,,,Dean
Dean College,0,Azaria Landry,23,2.0,9.0,,0.0,2,,0,0.0,,1,1,2,0,2,0,2,5,4,2.63,18.18,22.22,0.0,Dean
Dean College,1,Abi Boutin,38,5.0,11.0,,0.0,3,,5,12.0,,3,1,4,5,4,0,4,2,15,7.5,19.72,45.45,109.09,Dean
Dean College,5,Maranda Cournoyer,27,1.0,7.0,,0.0,1,,0,2.0,,0,2,2,1,1,0,3,0,2,0.0,27.57,14.29,28.57,Dean
Dean College,10,Kendrah Doane,34,3.0,6.0,,0.0,2,,1,2.0,,1,6,7,3,2,0,3,4,7,2.63,30.36,50.0,33.33,Dean
Dean College,13,Tori Viau,32,6.0,15.0,,2.0,8,,3,6.0,,0,0,0,1,2,0,1,1,17,0.0,5.36,46.67,40.0,Dean
Dean College,15,Alexandria Paquet,33,2.0,7.0,,1.0,4,,4,6.0,,0,7,7,3,1,2,4,2,9,0.0,29.33,35.71,85.71,Dean
Dean College,20,Olivia Cooper,13,0.0,2.0,,0.0,0,,0,2.0,,1,1,2,0,0,0,2,0,0,2.63,40.98,0.0,100.0,Dean
Dean College,TM,Team,,0.0,0.0,,0.0,,,,0.0,,2,5,7,,,,0,0,0,5.13,,,,Dean
