Lineup,Plus/Minus,Total Time,Game
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",10,03:00,Dean
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",0,01:12,Dean
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",-1,03:15,Dean
"('ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",0,00:42,Dean
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",0,03:58,Dean
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY')",19,03:02,Dean
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'PACHECO,MIA')",-1,01:14,Dean
"('ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",0,00:00,Dean
"('ANDRADE,SOPHIA', 'GUERRIER,PHONIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",-5,01:04,Dean
"('ANDRADE,SOPHIA', 'GUERRIER,PHONIA', 'MILDNER,STEPHANIE', 'PACHECO,MIA', 'SMITH,HEAVEN')",-3,00:10,Dean
