Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",83.25,3.33,03:00,Dean
"('LEWIS,JADE', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",0.0,0.0,01:12,Dean
"('LEWIS,JADE', 'LEBEL,KELLY', 'TURCO,MARY', 'GORSKI,JENNY', 'BARRON,SHEA')",-7.75,-0.31,03:15,Dean
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,00:42,Dean
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,03:58,Dean
"('WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",156.5,6.26,03:02,Dean
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'PACHECO,MIA', 'GORSKI,JENNY')",-20.25,-0.81,01:14,Dean
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'PACHECO,MIA', 'MILDNER,STEPHANIE')",,,00:00,Dean
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'GUERRIER,PHONIA', 'PACHECO,MIA', 'MILDNER,STEPHANIE')",-117.25,-4.69,01:04,Dean
"('SMITH,HEAVEN', 'ANDRADE,SOPHIA', 'GUERRIER,PHONIA', 'PACHECO,MIA', 'MILDNER,STEPHANIE')",-450.0,-18.0,00:10,Dean
