Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,01,"Smith,Heaven",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,EMMANUEL_WBB
Elms,02,"Guerrier,Phonia",1,0.0,1.0,,0.0,1,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,EMMANUEL_WBB
Elms,10,"Turco,Mary",20,1.0,3.0,,0.0,0,,0,0.0,,1,9,10,1,0,1,3,4,2,2.86,50.0,33.33,0.0,EMMANUEL_WBB
Elms,11,"Wasiewicz,Gabby",15,1.0,5.0,,1.0,5,,0,0.0,,0,3,3,0,0,0,2,1,3,0.0,28.57,30.0,0.0,EMMANUEL_WBB
Elms,12,"Lewis,Jade",35,1.0,7.0,,1.0,3,,2,2.0,,1,2,3,1,2,0,8,1,5,2.86,50.38,21.43,28.57,EMMANUEL_WBB
Elms,13,"Uribe,Talia",19,2.0,8.0,,0.0,0,,3,5.0,,1,3,4,0,2,0,0,4,7,2.86,0.0,25.0,62.5,EMMANUEL_WBB
Elms,14,"Gorski,Jenny",19,2.0,3.0,,0.0,0,,1,4.0,,2,2,4,0,0,0,3,1,5,5.56,38.66,66.67,133.33,EMMANUEL_WBB
Elms,15,"Barron,Shea",10,0.0,3.0,,0.0,1,,0,0.0,,0,0,0,0,0,0,2,2,0,0.0,40.0,0.0,0.0,EMMANUEL_WBB
Elms,20,"LeBel,Kelly",7,0.0,4.0,,0.0,1,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,EMMANUEL_WBB
Elms,22,"Johnston,Rahmia",35,4.0,11.0,,2.0,5,,4,5.0,,1,6,7,4,0,0,5,2,14,2.86,27.47,45.45,45.45,EMMANUEL_WBB
Elms,23,"Graham,Piper",22,1.0,6.0,,1.0,3,,3,3.0,,1,0,1,2,0,0,2,3,6,2.86,21.46,25.0,50.0,EMMANUEL_WBB
Elms,24,"Andrade,Sophia",13,0.0,3.0,,0.0,2,,0,0.0,,0,2,2,1,1,0,2,2,0,0.0,40.0,0.0,0.0,EMMANUEL_WBB
Elms,44,"Mildner,Stephanie",3,1.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,2,0.0,0.0,100.0,0.0,EMMANUEL_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,4,3,7,,,,0,0,,10.53,,,,EMMANUEL_WBB
Emmanuel (MA),01,"Krumian,Lia",15,1.0,4.0,,1.0,3,,0,0.0,,1,2,3,3,0,0,0,3,3,3.03,0.0,37.5,0.0,EMMANUEL_WBB
Emmanuel (MA),02,"Atuahene,Paris",16,2.0,7.0,,1.0,2,,0,0.0,,1,0,1,0,1,0,1,1,5,3.03,12.5,35.71,0.0,EMMANUEL_WBB
Emmanuel (MA),04,"Hill,Madisun",11,0.0,4.0,,0.0,0,,0,0.0,,0,2,2,0,1,1,1,0,0,0.0,20.0,0.0,0.0,EMMANUEL_WBB
Emmanuel (MA),05,"Matela,Olivia",21,3.0,7.0,,1.0,5,,1,2.0,,0,7,7,5,3,0,0,2,8,0.0,0.0,50.0,28.57,EMMANUEL_WBB
Emmanuel (MA),10,"Widito,Zahara",11,1.0,3.0,,0.0,0,,1,2.0,,1,4,5,0,2,1,1,3,3,3.03,20.49,33.33,66.67,EMMANUEL_WBB
Emmanuel (MA),13,"Jackson,Eliana",11,1.0,3.0,,0.0,0,,3,6.0,,2,1,3,0,0,0,0,1,5,5.88,0.0,33.33,200.0,EMMANUEL_WBB
Emmanuel (MA),14,"Bartash,Kaitlyn",16,3.0,5.0,,0.0,0,,3,3.0,,2,4,6,2,1,6,2,0,9,5.88,24.04,60.0,60.0,EMMANUEL_WBB
Emmanuel (MA),15,"Robinson,Desiree",25,4.0,8.0,,0.0,0,,1,2.0,,1,2,3,1,3,0,3,3,9,3.03,25.25,50.0,25.0,EMMANUEL_WBB
Emmanuel (MA),21,"Bartlett,Reese",16,2.0,5.0,,1.0,4,,0,0.0,,0,2,2,1,1,0,0,2,5,0.0,0.0,50.0,0.0,EMMANUEL_WBB
Emmanuel (MA),23,"Saunders,Kalia",13,3.0,4.0,,0.0,0,,1,2.0,,2,3,5,3,3,0,0,1,7,5.88,0.0,75.0,50.0,EMMANUEL_WBB
Emmanuel (MA),24,"Sloyan,Hattie",15,2.0,8.0,,0.0,2,,0,0.0,,1,1,2,2,2,0,2,2,4,3.03,20.0,25.0,0.0,EMMANUEL_WBB
Emmanuel (MA),25,"Whitehead,Jordan",16,3.0,10.0,,1.0,6,,2,3.0,,0,0,0,0,4,0,2,2,9,0.0,15.02,35.0,30.0,EMMANUEL_WBB
Emmanuel (MA),32,"Reilly,Megan",14,2.0,6.0,,0.0,0,,0,0.0,,3,1,4,1,1,0,1,0,4,8.57,14.29,33.33,0.0,EMMANUEL_WBB
Emmanuel (MA),TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,3,5,8,,,,0,0,,8.57,,,,EMMANUEL_WBB
