Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",09:46,07:27,-1,02:19,1st Half,2.3166666666666664,-0.43,-10.75,EMMANUEL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",07:27,03:51,-2,03:36,1st Half,3.6,-0.56,-14.0,EMMANUEL_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",03:51,01:58,1,01:53,1st Half,1.8833333333333333,0.53,13.25,EMMANUEL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'LEWIS,JADE')",01:58,01:44,-1,00:14,1st Half,0.23333333333333334,-4.29,-107.25,EMMANUEL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'GRAHAM,PIPER')",01:44,01:07,-2,00:37,1st Half,0.6166666666666667,-3.24,-81.0,EMMANUEL_WBB
"('GORSKI,JENNY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",01:07,00:29,-1,00:38,1st Half,0.6333333333333333,-1.58,-39.5,EMMANUEL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",00:29,08:02,-5,07:33,2nd Half,7.55,-0.66,-16.5,EMMANUEL_WBB
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",08:02,07:49,0,00:13,2nd Half,0.21666666666666667,0.0,0.0,EMMANUEL_WBB
"('ANDRADE,SOPHIA', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",07:49,07:37,-3,00:12,2nd Half,0.2,-15.0,-375.0,EMMANUEL_WBB
"('ANDRADE,SOPHIA', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",07:37,06:25,-4,01:12,2nd Half,1.2,-3.33,-83.25,EMMANUEL_WBB
