Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",-10.75,-0.43,02:19,EMMANUEL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",-14.0,-0.56,03:36,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",13.25,0.53,01:53,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA')",-107.25,-4.29,00:14,EMMANUEL_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'GRAHAM,PIPER')",-81.0,-3.24,00:37,EMMANUEL_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",-39.5,-1.58,00:38,EMMANUEL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",-16.5,-0.66,07:33,EMMANUEL_WBB
"('URIBE,TALIA', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",0.0,0.0,00:13,EMMANUEL_WBB
"('URIBE,TALIA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'BARRON,SHEA', 'GRAHAM,PIPER')",-375.0,-15.0,00:12,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'BARRON,SHEA', 'GRAHAM,PIPER')",-83.25,-3.33,01:12,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'BARRON,SHEA')",-44.75,-1.79,01:07,EMMANUEL_WBB
"('LEBEL,KELLY', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE')",-20.5,-0.82,03:39,EMMANUEL_WBB
"('LEBEL,KELLY', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE')",50.0,2.0,00:30,EMMANUEL_WBB
"('LEBEL,KELLY', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",-3.0,-0.12,08:34,EMMANUEL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",23.5,0.94,02:07,EMMANUEL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",0.0,0.0,01:27,EMMANUEL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA')",-91.0,-3.64,01:06,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA')",0.0,0.0,00:29,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA', 'GRAHAM,PIPER')",-39.0,-1.56,01:17,EMMANUEL_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'GRAHAM,PIPER')",-93.75,-3.75,00:16,EMMANUEL_WBB
"('URIBE,TALIA', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'GRAHAM,PIPER')",3.5,0.14,06:55,EMMANUEL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",-43.5,-1.74,01:09,EMMANUEL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",63.5,2.54,01:58,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE')",-52.25,-2.09,01:26,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-29.0,-1.16,02:35,EMMANUEL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'MILDNER,STEPHANIE')",38.25,1.53,01:58,EMMANUEL_WBB
"('LEBEL,KELLY', 'GUERRIER,PHONIA', 'SMITH,HEAVEN', 'LEWIS,JADE', 'MILDNER,STEPHANIE')",0.0,0.0,00:44,EMMANUEL_WBB
