Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,10,"Turco,Mary",25,1.0,4.0,,0.0,0,,4,7.0,,3,7,10,1,0,0,5,4,6,9.68,41.39,25.0,175.0,Emerson
Elms,12,"Lewis,Jade",26,4.0,9.0,,1.0,5,,2,2.0,,0,0,0,6,2,0,3,4,11,0.0,23.29,50.0,22.22,Emerson
Elms,13,"Uribe,Talia",29,4.0,13.0,,1.0,1,,3,6.0,,2,3,5,0,3,0,1,3,12,6.67,6.01,34.62,46.15,Emerson
Elms,14,"Gorski,Jenny",13,1.0,3.0,,0.0,0,,0,0.0,,2,2,4,1,0,0,3,0,2,6.67,50.0,33.33,0.0,Emerson
Elms,15,"Barron,Shea",4,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,1,1,0,0.0,100.0,,,Emerson
Elms,20,"LeBel,Kelly",14,0.0,4.0,,0.0,3,,0,0.0,,0,1,1,0,1,0,1,0,0,0.0,20.0,0.0,0.0,Emerson
Elms,22,"Johnston,Rahmia",40,9.0,13.0,,6.0,9,,4,5.0,,0,4,4,3,3,0,4,3,28,0.0,20.83,92.31,38.46,Emerson
Elms,23,"Graham,Piper",34,4.0,9.0,,3.0,4,,0,0.0,,0,2,2,1,1,0,2,3,11,0.0,18.18,61.11,0.0,Emerson
Elms,24,"Andrade,Sophia",4,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,1,0,0,0,0,0,0.0,,,,Emerson
Elms,32,"Scott,Ta'Niyah",4,0.0,1.0,,0.0,0,,0,0.0,,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Emerson
Elms,34,"Koch,Autumn",7,0.0,2.0,,0.0,2,,0,0.0,,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,Emerson
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,3,0,3,,,,0,0,,9.68,,,,Emerson
Emerson,00,"Arnold,Elise",24,4.0,8.0,,2.0,2,,0,0.0,,3,5,8,0,1,0,4,2,10,11.11,33.33,62.5,0.0,Emerson
Emerson,02,"Hicks,Lena",5,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,,,,Emerson
Emerson,05,"Levison,Charlotte",23,7.0,13.0,,1.0,4,,7,8.0,,2,6,8,3,2,2,6,3,22,7.69,26.64,57.69,61.54,Emerson
Emerson,11,"Dodd,Kendra",33,4.0,12.0,,4.0,10,,0,0.0,,0,1,1,2,1,0,2,2,12,0.0,14.29,50.0,0.0,Emerson
Emerson,15,"McGovern,Lisee",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,Emerson
Emerson,17,"English,Claire",19,2.0,2.0,,0.0,0,,0,0.0,,0,5,5,3,0,2,4,4,4,0.0,66.67,100.0,0.0,Emerson
Emerson,21,"Canter,Sofia",24,3.0,6.0,,2.0,4,,0,0.0,,1,0,1,2,1,0,1,0,8,4.0,14.29,66.67,0.0,Emerson
Emerson,24,"Arnold,Taylor",14,1.0,3.0,,0.0,0,,0,0.0,,1,1,2,4,1,0,1,4,2,4.0,25.0,33.33,0.0,Emerson
Emerson,30,"Silk,Jessie",40,6.0,12.0,,1.0,6,,7,8.0,,1,6,7,3,2,0,1,1,20,4.0,6.05,54.17,66.67,Emerson
Emerson,33,"Lyons,Sydney",16,1.0,5.0,,0.0,0,,0,1.0,,1,2,3,0,0,0,1,2,2,4.0,15.53,20.0,20.0,Emerson
Emerson,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,2,2,,,,0,0,,0.0,,,,Emerson
