Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-243.75,-9.75,04:22,Emerson
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",-56.5,-2.26,02:39,Emerson
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY')",-58.75,-2.35,00:51,Emerson
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-55.5,-2.22,01:21,Emerson
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'URIBE,TALIA')",0.0,0.0,00:11,Emerson
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY', 'URIBE,TALIA')",-19.5,-0.78,04:10,Emerson
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",16.75,0.67,02:59,Emerson
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",6.0,0.24,04:15,Emerson
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0.0,0.0,00:34,Emerson
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",45.0,1.8,04:27,Emerson
