Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",0.0,0.0,02:32,Emerson
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-56.5,-2.26,02:39,Emerson
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'GRAHAM,PIPER', 'BARRON,SHEA')",-58.75,-2.35,00:51,Emerson
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'BARRON,SHEA')",-55.5,-2.22,01:21,Emerson
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'URIBE,TALIA', 'GRAHAM,PIPER')",0.0,0.0,00:11,Emerson
"('JOHNSTON,RAHMIA', 'TURCO,MARY', 'LEBEL,KELLY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-19.5,-0.78,03:51,Emerson
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",23.0,0.92,01:05,Emerson
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER')",16.75,0.67,02:59,Emerson
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER')",6.0,0.24,04:15,Emerson
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-266.75,-10.67,00:45,Emerson
"('JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA', 'LEBEL,KELLY', 'GRAHAM,PIPER')",0.0,0.0,00:19,Emerson
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'LEBEL,KELLY')",0.0,0.0,00:34,Emerson
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'LEBEL,KELLY')",45.0,1.8,04:27,Emerson
