Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",09:46,07:27,-1,02:19,1st Half,2.3166666666666664,-0.43,-10.75,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER')",07:27,03:51,-2,03:36,1st Half,3.6,-0.56,-14.0,Emmanuel
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",03:51,01:58,1,01:53,1st Half,1.8833333333333333,0.53,13.25,Emmanuel
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GORSKI,JENNY', 'BARRON,SHEA')",01:58,01:44,-1,00:14,1st Half,0.23333333333333334,-4.29,-107.25,Emmanuel
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'URIBE,TALIA')",01:44,01:07,-2,00:37,1st Half,0.6166666666666667,-3.24,-81.0,Emmanuel
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'URIBE,TALIA')",01:07,00:29,-1,00:38,1st Half,0.6333333333333333,-1.58,-39.5,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'URIBE,TALIA')",00:29,08:02,-5,07:33,2nd Half,7.55,-0.66,-16.5,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA', 'ANDRADE,SOPHIA')",08:02,07:49,0,00:13,2nd Half,0.21666666666666667,0.0,0.0,Emmanuel
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'URIBE,TALIA', 'ANDRADE,SOPHIA')",07:49,07:37,-3,00:12,2nd Half,0.2,-15.0,-375.0,Emmanuel
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'ANDRADE,SOPHIA')",07:37,06:25,-4,01:12,2nd Half,1.2,-3.33,-83.25,Emmanuel
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'BARRON,SHEA', 'ANDRADE,SOPHIA')",06:25,05:18,-2,01:07,2nd Half,1.1166666666666667,-1.79,-44.75,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'LEBEL,KELLY', 'ANDRADE,SOPHIA')",05:18,01:39,-3,03:39,2nd Half,3.65,-0.82,-20.5,Emmanuel
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'GORSKI,JENNY', 'LEBEL,KELLY')",01:39,01:09,1,00:30,2nd Half,0.5,2.0,50.0,Emmanuel
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GORSKI,JENNY', 'LEBEL,KELLY', 'BARRON,SHEA')",01:09,09:43,-1,08:34,2nd Half,8.566666666666666,-0.12,-3.0,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",09:43,07:36,2,02:07,2nd Half,2.1166666666666667,0.94,23.5,Emmanuel
