Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-1,05:35,Emmanuel
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-7,11:09,Emmanuel
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",1,01:53,Emmanuel
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-1,00:43,Emmanuel
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-2,00:37,Emmanuel
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-1,00:38,Emmanuel
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",0,00:13,Emmanuel
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'LEWIS,JADE', 'URIBE,TALIA')",-3,00:12,Emmanuel
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-4,01:12,Emmanuel
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-2,01:07,Emmanuel
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",-3,03:39,Emmanuel
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",1,00:30,Emmanuel
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'WASIEWICZ,GABBY')",-1,08:34,Emmanuel
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0,01:27,Emmanuel
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-4,01:06,Emmanuel
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-2,01:17,Emmanuel
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-1,00:16,Emmanuel
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",1,06:55,Emmanuel
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",5,01:58,Emmanuel
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-3,01:26,Emmanuel
"('ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-3,02:35,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",3,01:58,Emmanuel
"('GUERRIER,PHONIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'SMITH,HEAVEN')",0,00:44,Emmanuel
