Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",-10.75,-0.43,02:19,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",-14.0,-0.56,03:36,Emmanuel
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",13.25,0.53,01:53,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'LEWIS,JADE')",-107.25,-4.29,00:14,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-81.0,-3.24,00:37,Emmanuel
"('GORSKI,JENNY', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",-39.5,-1.58,00:38,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",-16.5,-0.66,07:33,Emmanuel
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",0.0,0.0,00:13,Emmanuel
"('ANDRADE,SOPHIA', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",-375.0,-15.0,00:12,Emmanuel
"('ANDRADE,SOPHIA', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",-83.25,-3.33,01:12,Emmanuel
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'LEWIS,JADE')",-44.75,-1.79,01:07,Emmanuel
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE')",-20.5,-0.82,03:39,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'WASIEWICZ,GABBY', 'LEWIS,JADE')",50.0,2.0,00:30,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'WASIEWICZ,GABBY', 'BARRON,SHEA')",-3.0,-0.12,08:34,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",23.5,0.94,02:07,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA')",0.0,0.0,01:27,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'BARRON,SHEA')",-91.0,-3.64,01:06,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA')",0.0,0.0,00:29,Emmanuel
"('GORSKI,JENNY', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'GRAHAM,PIPER')",-39.0,-1.56,01:17,Emmanuel
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-93.75,-3.75,00:16,Emmanuel
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",3.5,0.14,06:55,Emmanuel
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",-43.5,-1.74,01:09,Emmanuel
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",63.5,2.54,01:58,Emmanuel
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-52.25,-2.09,01:26,Emmanuel
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY')",-29.0,-1.16,02:35,Emmanuel
"('JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY')",38.25,1.53,01:58,Emmanuel
"('MILDNER,STEPHANIE', 'LEWIS,JADE', 'SMITH,HEAVEN', 'LEBEL,KELLY', 'GUERRIER,PHONIA')",0.0,0.0,00:44,Emmanuel
