Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,10,Mary Turco,27,11.0,12.0,,0.0,0,,5,6.0,,5,8,13,2,1,0,7,3,27,15.15,32.35,91.67,50.0,Fitchburg State
Elms,12,Jade Lewis,38,8.0,17.0,,4.0,8,,3,6.0,,4,3,7,3,1,0,4,4,23,12.5,16.92,58.82,35.29,Fitchburg State
Elms,13,Talia Uribe,27,0.0,5.0,,0.0,0,,4,6.0,,3,2,5,1,2,0,5,3,4,9.68,39.56,0.0,120.0,Fitchburg State
Elms,14,Jenny Gorski,14,3.0,5.0,,0.0,0,,0,0.0,,1,1,2,0,1,0,1,3,6,3.45,16.67,60.0,0.0,Fitchburg State
Elms,15,Shea Barron,15,1.0,1.0,,0.0,0,,2,4.0,,0,3,3,0,0,0,0,3,4,0.0,0.0,100.0,400.0,Fitchburg State
Elms,20,Kelly LeBel,17,1.0,6.0,,0.0,4,,3,3.0,,0,1,1,0,0,0,1,0,5,0.0,12.02,16.67,50.0,Fitchburg State
Elms,22,Rahmia Johnston,39,2.0,12.0,,0.0,5,,8,12.0,,2,3,5,4,3,0,2,2,12,6.67,10.37,16.67,100.0,Fitchburg State
Elms,23,Piper Graham,13,0.0,4.0,,0.0,1,,2,2.0,,0,2,2,0,0,0,0,3,2,0.0,0.0,0.0,50.0,Fitchburg State
Elms,24,Sophia Andrade,3,0.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,Fitchburg State
Elms,32,Ta'Niyah Scott,1,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Fitchburg State
Elms,34,Autumn Koch,5,1.0,3.0,,1.0,3,,0,0.0,,0,0,0,0,0,0,0,2,3,0.0,0.0,50.0,0.0,Fitchburg State
Elms,TM,Team,,0.0,0.0,,0.0,,,,0.0,,2,4,6,,,,0,0,0,6.67,,,,Fitchburg State
Fitchburg St.,01,Kaelynn Tanner,24,6.0,13.0,,3.0,8,,0,0.0,,2,3,5,1,1,0,4,3,15,6.67,23.53,57.69,0.0,Fitchburg State
Fitchburg St.,02,Aliza Som,26,1.0,6.0,,1.0,5,,0,0.0,,0,2,2,2,1,0,3,5,3,0.0,33.33,25.0,0.0,Fitchburg State
Fitchburg St.,03,Emma Adisa,0,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,Fitchburg State
Fitchburg St.,11,Allison Prentis,6,2.0,3.0,,1.0,2,,0,0.0,,0,0,0,0,0,0,1,2,5,0.0,25.0,83.33,0.0,Fitchburg State
Fitchburg St.,14,Kathryn Hart,27,5.0,10.0,,1.0,3,,3,7.0,,3,0,3,1,1,0,3,4,14,9.68,18.66,55.0,70.0,Fitchburg State
Fitchburg St.,20,Alexis DeSimone,22,2.0,12.0,,0.0,4,,2,4.0,,3,2,5,1,1,0,3,3,6,9.68,17.9,16.67,33.33,Fitchburg State
Fitchburg St.,22,Rylie Harlow,38,4.0,18.0,,1.0,8,,5,7.0,,2,9,11,5,1,1,5,5,14,6.67,19.17,25.0,38.89,Fitchburg State
Fitchburg St.,23,Caileen Hurley,22,2.0,7.0,,0.0,0,,0,0.0,,1,3,4,2,1,1,1,3,4,3.45,12.5,28.57,0.0,Fitchburg State
Fitchburg St.,25,Stephanie Hart,31,6.0,6.0,,0.0,0,,8,13.0,,8,9,17,4,4,0,1,3,20,22.22,7.86,100.0,216.67,Fitchburg State
Fitchburg St.,35,Malaica Guillaume,4,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,,,,Fitchburg State
Fitchburg St.,TM,Team,,0.0,0.0,,0.0,,,,0.0,,2,0,2,,,,0,0,0,6.67,,,,Fitchburg State
