Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:55,06:24,-4,03:31,1st Half,3.5166666666666666,-1.14,-28.5,Fitchburg State
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",06:24,05:42,1,00:42,1st Half,0.7,1.43,35.75,Fitchburg State
"('GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",05:42,05:00,0,00:42,1st Half,0.7,0.0,0.0,Fitchburg State
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",05:00,10:00,0,05:00,2nd Half,5.0,0.0,0.0,Fitchburg State
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'MILDNER,STEPHANIE')",10:00,09:07,2,00:53,2nd Half,0.8833333333333333,2.26,56.5,Fitchburg State
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'LEBEL,KELLY')",09:07,08:00,5,01:07,2nd Half,1.1166666666666667,4.48,112.0,Fitchburg State
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'LEBEL,KELLY')",08:00,04:00,-1,04:00,2nd Half,4.0,-0.25,-6.25,Fitchburg State
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'LEBEL,KELLY')",04:00,02:29,-3,01:31,2nd Half,1.5166666666666666,-1.98,-49.5,Fitchburg State
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'LEBEL,KELLY')",02:29,03:49,-2,01:20,2nd Half,1.3333333333333333,-1.5,-37.5,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'LEBEL,KELLY')",03:49,03:49,0,00:00,2nd Half,0.0,,,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'URIBE,TALIA')",03:49,01:28,0,02:21,2nd Half,2.35,0.0,0.0,Fitchburg State
"('LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'GRAHAM,PIPER', 'URIBE,TALIA')",01:28,08:30,-2,07:02,2nd Half,7.033333333333333,-0.28,-7.0,Fitchburg State
"('LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'URIBE,TALIA', 'LEBEL,KELLY')",08:30,07:42,4,00:48,2nd Half,0.8,5.0,125.0,Fitchburg State
"('LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'URIBE,TALIA', 'LEBEL,KELLY')",07:42,06:21,-2,01:21,2nd Half,1.35,-1.48,-37.0,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'MILDNER,STEPHANIE', 'GRAHAM,PIPER', 'URIBE,TALIA')",06:21,04:25,1,01:56,2nd Half,1.9333333333333333,0.52,13.0,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'GRAHAM,PIPER')",04:25,04:25,0,00:00,2nd Half,0.0,,,Fitchburg State
"('GORSKI,JENNY', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA')",04:25,03:52,0,00:33,2nd Half,0.55,0.0,0.0,Fitchburg State
"('BARRON,SHEA', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",03:52,00:02,4,03:50,2nd Half,3.8333333333333335,1.04,26.0,Fitchburg State
