Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-4,03:31,Fitchburg State
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",1,00:42,Fitchburg State
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",0,00:42,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",0,05:00,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'URIBE,TALIA')",2,03:14,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",5,01:07,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE')",-1,04:00,Fitchburg State
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE')",-3,01:31,Fitchburg State
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",-2,01:20,Fitchburg State
"('GRAHAM,PIPER', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'URIBE,TALIA')",-2,07:02,Fitchburg State
"('GRAHAM,PIPER', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",4,00:48,Fitchburg State
"('LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'URIBE,TALIA')",-2,01:21,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'MILDNER,STEPHANIE', 'URIBE,TALIA')",1,01:56,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'MILDNER,STEPHANIE')",0,00:00,Fitchburg State
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'URIBE,TALIA')",0,00:33,Fitchburg State
"('BARRON,SHEA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'URIBE,TALIA')",4,03:50,Fitchburg State
