Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-28.5,-1.14,03:31,Fitchburg State
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",35.75,1.43,00:42,Fitchburg State
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",0.0,0.0,00:42,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",0.0,0.0,05:00,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'URIBE,TALIA')",56.5,2.26,03:14,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",112.0,4.48,01:07,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE')",,,04:00,Fitchburg State
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE')",-49.5,-1.98,01:31,Fitchburg State
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",-37.5,-1.5,01:20,Fitchburg State
"('GRAHAM,PIPER', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'URIBE,TALIA')",-7.0,-0.28,07:02,Fitchburg State
"('GRAHAM,PIPER', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",125.0,5.0,00:48,Fitchburg State
"('LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'URIBE,TALIA')",-37.0,-1.48,01:21,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'MILDNER,STEPHANIE', 'URIBE,TALIA')",13.0,0.52,01:56,Fitchburg State
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'MILDNER,STEPHANIE')",,,00:00,Fitchburg State
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'URIBE,TALIA')",0.0,0.0,00:33,Fitchburg State
"('BARRON,SHEA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'URIBE,TALIA')",26.0,1.04,03:50,Fitchburg State
