Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",-28.5,-1.14,03:31,Fitchburg State
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",35.75,1.43,00:42,Fitchburg State
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",0.0,0.0,00:42,Fitchburg State
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA')",0.0,0.0,05:00,Fitchburg State
"('URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'BARRON,SHEA')",56.5,2.26,00:53,Fitchburg State
"('LEBEL,KELLY', 'URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA')",112.0,4.48,01:07,Fitchburg State
"('LEBEL,KELLY', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'BARRON,SHEA')",-6.25,-0.25,04:00,Fitchburg State
"('LEBEL,KELLY', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'BARRON,SHEA')",-49.5,-1.98,01:31,Fitchburg State
"('LEBEL,KELLY', 'URIBE,TALIA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'BARRON,SHEA')",-37.5,-1.5,01:20,Fitchburg State
"('LEBEL,KELLY', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'BARRON,SHEA')",,,00:00,Fitchburg State
"('URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'BARRON,SHEA')",0.0,0.0,02:21,Fitchburg State
"('TURCO,MARY', 'URIBE,TALIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'GRAHAM,PIPER')",-7.0,-0.28,07:02,Fitchburg State
"('TURCO,MARY', 'LEBEL,KELLY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",125.0,5.0,00:48,Fitchburg State
"('TURCO,MARY', 'LEBEL,KELLY', 'URIBE,TALIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE')",-37.0,-1.48,01:21,Fitchburg State
"('URIBE,TALIA', 'GORSKI,JENNY', 'MILDNER,STEPHANIE', 'BARRON,SHEA', 'GRAHAM,PIPER')",13.0,0.52,01:56,Fitchburg State
"('GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'BARRON,SHEA', 'GRAHAM,PIPER')",,,00:00,Fitchburg State
"('URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'GRAHAM,PIPER')",0.0,0.0,00:33,Fitchburg State
"('TURCO,MARY', 'URIBE,TALIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'BARRON,SHEA')",26.0,1.04,03:50,Fitchburg State
