Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,02,Phonia Guerrier,2,0.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Gordon
Elms,04,Mia Pacheco,2,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,1,0,0,0.0,100.0,,,Gordon
Elms,10,Mary Turco,25,4.0,7.0,,0.0,0,,4,11.0,,5,7,12,1,1,3,4,3,12,12.82,25.25,57.14,157.14,Gordon
Elms,12,Jade Lewis,18,1.0,4.0,,1.0,2,,0,0.0,,0,2,2,3,1,0,3,2,3,0.0,42.86,37.5,0.0,Gordon
Elms,14,Jenny Gorski,22,1.0,2.0,,0.0,0,,1,2.0,,1,1,2,1,0,0,3,4,3,2.86,51.02,50.0,100.0,Gordon
Elms,15,Shea Barron,19,2.0,6.0,,0.0,2,,0,0.0,,2,1,3,0,1,0,0,1,4,5.56,0.0,33.33,0.0,Gordon
Elms,20,Kelly LeBel,20,2.0,13.0,,1.0,7,,0,0.0,,0,2,2,0,1,0,3,1,5,0.0,18.75,19.23,0.0,Gordon
Elms,22,Rahmia Johnston,34,2.0,7.0,,1.0,3,,4,8.0,,1,7,8,1,1,1,4,4,9,2.86,27.55,35.71,114.29,Gordon
Elms,23,Piper Graham,25,0.0,10.0,,0.0,3,,0,0.0,,1,2,3,0,0,0,3,2,0,2.86,23.08,0.0,0.0,Gordon
Elms,24,Sophia Andrade,19,0.0,4.0,,0.0,2,,0,0.0,,2,2,4,0,0,0,1,0,0,5.56,20.0,0.0,0.0,Gordon
Elms,32,Ta'Niyah Scott,1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,Gordon
Elms,34,Autumn Koch,9,1.0,2.0,,1.0,2,,0,0.0,,0,1,1,0,0,0,1,0,3,0.0,33.33,75.0,0.0,Gordon
Elms,35,Stephanie Mildner,2,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,Gordon
Elms,50,Danajah Stokes,2,0.0,1.0,,0.0,0,,0,0.0,,1,0,1,0,0,0,0,0,0,2.86,0.0,0.0,0.0,Gordon
Elms,TM,Team,,0.0,0.0,,0.0,,,,0.0,,1,8,9,,,,0,0,0,2.86,,,,Gordon
Gordon,01,Sami Monighetti,15,1.0,4.0,,1.0,4,,0,0.0,,0,5,5,5,1,0,1,1,3,0.0,20.0,37.5,0.0,Gordon
Gordon,02,Woynitu Ciccarello,30,4.0,13.0,,2.0,8,,4,4.0,,1,5,6,2,4,0,1,2,14,2.78,6.35,38.46,30.77,Gordon
Gordon,05,Cassidy Dillon,9,1.0,3.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,1,2,2,0.0,25.0,33.33,0.0,Gordon
Gordon,11,Naomi Nicholson,29,3.0,10.0,,3.0,8,,1,2.0,,2,5,7,3,4,0,3,0,10,5.41,21.61,45.0,20.0,Gordon
Gordon,14,Paige Gadarowski,10,0.0,2.0,,0.0,0,,0,0.0,,1,2,3,0,0,0,1,3,0,2.78,33.33,0.0,0.0,Gordon
Gordon,15,Abby Chewning,7,0.0,4.0,,0.0,4,,0,0.0,,0,1,1,0,1,0,0,3,0,0.0,0.0,0.0,0.0,Gordon
Gordon,21,Brynn Barnhard,21,2.0,6.0,,1.0,2,,2,2.0,,2,6,8,3,3,0,1,3,7,5.41,12.69,41.67,33.33,Gordon
Gordon,23,Ami Rivera,23,8.0,12.0,,2.0,4,,1,1.0,,0,1,1,4,3,0,1,0,19,0.0,7.44,75.0,8.33,Gordon
Gordon,24,Isabelle Stogsdill,8,0.0,2.0,,0.0,1,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Gordon
Gordon,30,Sophie Peters,17,2.0,5.0,,0.0,0,,0,0.0,,2,4,6,0,1,0,2,2,4,5.41,28.57,40.0,0.0,Gordon
Gordon,32,Jayme Kiser,20,2.0,9.0,,2.0,4,,0,0.0,,1,2,3,1,0,1,2,1,6,2.78,18.18,33.33,0.0,Gordon
Gordon,34,Leah McGarvey,11,2.0,4.0,,0.0,1,,0,0.0,,2,0,2,0,0,0,0,3,4,5.41,0.0,50.0,0.0,Gordon
Gordon,TM,Team,,0.0,0.0,,0.0,,,,0.0,,1,2,3,,,,1,0,0,2.78,100.0,,,Gordon
