Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,01,"Smith,Heaven",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,JWU_PROVIDENCE_WBB2
Elms,02,"Guerrier,Phonia",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,JWU_PROVIDENCE_WBB2
Elms,04,"Pacheco,Mia",1,0.0,0.0,,0.0,0,,1,2.0,,0,0,0,0,0,0,0,0,1,0.0,0.0,,inf,JWU_PROVIDENCE_WBB2
Elms,10,"Turco,Mary",21,3.0,6.0,,0.0,0,,0,0.0,,4,5,9,0,1,3,2,2,6,9.09,25.0,50.0,0.0,JWU_PROVIDENCE_WBB2
Elms,11,"Wasiewicz,Gabby",8,1.0,3.0,,1.0,3,,1,3.0,,0,1,1,0,0,0,2,1,4,0.0,31.65,50.0,100.0,JWU_PROVIDENCE_WBB2
Elms,12,"Lewis,Jade",21,2.0,12.0,,0.0,4,,4,6.0,,2,3,5,1,0,0,3,4,8,4.76,17.01,16.67,50.0,JWU_PROVIDENCE_WBB2
Elms,13,"Uribe,Talia",25,1.0,10.0,,0.0,2,,1,2.0,,1,2,3,1,2,0,1,4,3,2.44,8.42,10.0,20.0,JWU_PROVIDENCE_WBB2
Elms,14,"Gorski,Jenny",20,1.0,6.0,,0.0,0,,0,0.0,,5,2,7,0,0,0,1,1,2,11.11,14.29,16.67,0.0,JWU_PROVIDENCE_WBB2
Elms,15,"Barron,Shea",24,2.0,6.0,,2.0,4,,1,3.0,,1,2,3,0,1,0,1,1,7,2.44,12.02,50.0,50.0,JWU_PROVIDENCE_WBB2
Elms,20,"LeBel,Kelly",9,0.0,6.0,,0.0,3,,0,0.0,,0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,JWU_PROVIDENCE_WBB2
Elms,22,"Johnston,Rahmia",33,2.0,12.0,,0.0,6,,9,10.0,,0,8,8,4,0,0,6,1,13,0.0,26.79,16.67,83.33,JWU_PROVIDENCE_WBB2
Elms,23,"Graham,Piper",13,1.0,4.0,,1.0,3,,0,0.0,,0,0,0,1,0,0,1,0,3,0.0,20.0,37.5,0.0,JWU_PROVIDENCE_WBB2
Elms,24,"Andrade,Sophia",21,1.0,3.0,,1.0,3,,0,0.0,,0,1,1,0,1,0,1,2,3,0.0,25.0,50.0,0.0,JWU_PROVIDENCE_WBB2
Elms,44,"Mildner,Stephanie",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,JWU_PROVIDENCE_WBB2
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,5,1,6,,,,1,0,,11.11,100.0,,,JWU_PROVIDENCE_WBB2
JWU (Providence),01,"D'Ambrosio,Gabriela",16,1.0,5.0,,1.0,4,,0,0.0,,1,0,1,1,0,0,2,2,3,3.7,28.57,30.0,0.0,JWU_PROVIDENCE_WBB2
JWU (Providence),02,"Cruz,Mia",27,3.0,10.0,,0.0,2,,0,0.0,,1,3,4,8,3,1,3,2,6,3.7,23.08,30.0,0.0,JWU_PROVIDENCE_WBB2
JWU (Providence),03,"Foley,Brianne",20,7.0,9.0,,4.0,5,,0,1.0,,2,5,7,2,1,0,0,3,18,7.14,0.0,100.0,11.11,JWU_PROVIDENCE_WBB2
JWU (Providence),05,"Lora,Alexa",21,2.0,5.0,,0.0,2,,2,2.0,,0,4,4,1,1,0,3,2,6,0.0,33.78,40.0,40.0,JWU_PROVIDENCE_WBB2
JWU (Providence),07,"Suero,Isabella",31,6.0,15.0,,3.0,11,,0,0.0,,0,5,5,5,2,1,1,3,15,0.0,6.25,50.0,0.0,JWU_PROVIDENCE_WBB2
JWU (Providence),09,"Mitchell,Qubilah",9,0.0,0.0,,0.0,0,,0,0.0,,1,0,1,1,0,1,1,1,0,3.7,100.0,,,JWU_PROVIDENCE_WBB2
JWU (Providence),15,"Ebanks,Bethany",1,1.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,1,1,0,2,0.0,50.0,100.0,0.0,JWU_PROVIDENCE_WBB2
JWU (Providence),20,"Thompson,Kyla",5,0.0,0.0,,0.0,0,,0,0.0,,1,0,1,0,0,1,1,1,0,3.7,100.0,,,JWU_PROVIDENCE_WBB2
JWU (Providence),21,"Clark,Madison",8,1.0,1.0,,0.0,0,,0,0.0,,0,2,2,0,0,0,0,1,2,0.0,0.0,100.0,0.0,JWU_PROVIDENCE_WBB2
JWU (Providence),32,"Johnson,Maiyah",15,0.0,4.0,,0.0,3,,0,0.0,,1,1,2,0,0,0,0,0,0,3.7,0.0,0.0,0.0,JWU_PROVIDENCE_WBB2
JWU (Providence),33,"Jaffray,Grace",26,11.0,21.0,,3.0,10,,4,5.0,,2,5,7,3,0,1,1,1,29,7.14,4.13,59.52,23.81,JWU_PROVIDENCE_WBB2
JWU (Providence),50,"Caruso,Mikayla",21,4.0,6.0,,0.0,1,,0,0.0,,5,8,13,2,1,4,3,1,8,16.13,33.33,66.67,0.0,JWU_PROVIDENCE_WBB2
JWU (Providence),TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,2,7,9,,,,0,0,,7.14,,,,JWU_PROVIDENCE_WBB2
