Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-4,01:55,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-2,03:08,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-1,00:13,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-5,01:34,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0,00:21,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-11,03:23,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",0,00:06,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",3,00:57,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",3,08:27,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY')",-5,02:26,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-4,01:43,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'URIBE,TALIA')",-2,00:57,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY')",0,00:36,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'WASIEWICZ,GABBY')",-4,02:07,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'WASIEWICZ,GABBY')",-12,02:51,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",0,00:53,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",0,00:34,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-3,01:42,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",1,08:58,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",4,03:20,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",2,02:22,JWU_PROVIDENCE_WBB2
"('GUERRIER,PHONIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",0,00:17,JWU_PROVIDENCE_WBB2
"('GUERRIER,PHONIA', 'LEBEL,KELLY', 'MILDNER,STEPHANIE', 'PACHECO,MIA', 'SMITH,HEAVEN')",-1,00:53,JWU_PROVIDENCE_WBB2
