Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-52.25,-2.09,01:55,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-18.75,-0.75,03:08,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-115.5,-4.62,00:13,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-79.75,-3.19,01:34,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,00:21,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-81.25,-3.25,03:23,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",0.0,0.0,00:06,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",79.0,3.16,00:57,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",9.0,0.36,08:27,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY')",-51.25,-2.05,02:26,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-58.25,-2.33,01:43,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'URIBE,TALIA')",-52.75,-2.11,00:57,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY')",0.0,0.0,00:36,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'WASIEWICZ,GABBY')",-47.25,-1.89,02:07,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'WASIEWICZ,GABBY')",-105.25,-4.21,02:51,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",0.0,0.0,00:53,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",0.0,0.0,00:34,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-44.0,-1.76,01:42,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",2.75,0.11,08:58,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",30.0,1.2,03:20,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",21.25,0.85,02:22,JWU_PROVIDENCE_WBB2
"('GUERRIER,PHONIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",0.0,0.0,00:17,JWU_PROVIDENCE_WBB2
"('GUERRIER,PHONIA', 'LEBEL,KELLY', 'MILDNER,STEPHANIE', 'PACHECO,MIA', 'SMITH,HEAVEN')",-28.25,-1.13,00:53,JWU_PROVIDENCE_WBB2
