Player,Plus/Minus,Game
"URIBE,TALIA",-25,JWU_PROVIDENCE_WBB2
"JOHNSTON,RAHMIA",-13,JWU_PROVIDENCE_WBB2
"LEWIS,JADE",-18,JWU_PROVIDENCE_WBB2
"GRAHAM,PIPER",-17,JWU_PROVIDENCE_WBB2
"TURCO,MARY",-29,JWU_PROVIDENCE_WBB2
"BARRON,SHEA",-30,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY",-11,JWU_PROVIDENCE_WBB2
"WASIEWICZ,GABBY",-11,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA",-12,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY",-1,JWU_PROVIDENCE_WBB2
"GUERRIER,PHONIA",-1,JWU_PROVIDENCE_WBB2
"PACHECO,MIA",-1,JWU_PROVIDENCE_WBB2
"MILDNER,STEPHANIE",-1,JWU_PROVIDENCE_WBB2
"SMITH,HEAVEN",-1,JWU_PROVIDENCE_WBB2
