Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-52.25,-2.09,01:55,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",0.0,0.0,00:28,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",-115.5,-4.62,00:13,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA')",-79.75,-3.19,01:34,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",0.0,0.0,00:21,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",-81.25,-3.25,03:23,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",0.0,0.0,00:05,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",79.0,3.16,00:57,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",9.0,0.36,08:27,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-51.25,-2.05,02:26,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA')",-58.25,-2.33,01:43,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",0.0,0.0,00:01,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-52.75,-2.11,00:57,JWU_PROVIDENCE_WBB2
"('GORSKI,JENNY', 'BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",0.0,0.0,00:36,JWU_PROVIDENCE_WBB2
"('GORSKI,JENNY', 'ANDRADE,SOPHIA', 'WASIEWICZ,GABBY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-47.25,-1.89,02:07,JWU_PROVIDENCE_WBB2
"('GORSKI,JENNY', 'BARRON,SHEA', 'WASIEWICZ,GABBY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-105.25,-4.21,02:51,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'GORSKI,JENNY', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'JOHNSTON,RAHMIA')",0.0,0.0,00:53,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",0.0,0.0,00:34,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'TURCO,MARY', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY')",-44.0,-1.76,01:42,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",2.75,0.11,08:58,JWU_PROVIDENCE_WBB2
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",-18.75,-0.75,02:40,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",30.0,1.2,03:20,JWU_PROVIDENCE_WBB2
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",21.25,0.85,02:22,JWU_PROVIDENCE_WBB2
"('LEWIS,JADE', 'MILDNER,STEPHANIE', 'GUERRIER,PHONIA', 'PACHECO,MIA', 'LEBEL,KELLY')",0.0,0.0,00:17,JWU_PROVIDENCE_WBB2
"('MILDNER,STEPHANIE', 'GUERRIER,PHONIA', 'PACHECO,MIA', 'SMITH,HEAVEN', 'LEBEL,KELLY')",-28.25,-1.13,00:53,JWU_PROVIDENCE_WBB2
