Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
JWU (Providence),01,"D'Ambrosio,Gabriela",9,1.0,1.0,,1.0,1,,0,0.0,,0,0,0,0,1,0,1,0,3,0.0,50.0,150.0,0.0,JWU_PROVIDENCE_WBB
JWU (Providence),02,"Cruz,Mia",12,2.0,3.0,,1.0,1,,2,2.0,,0,2,2,0,1,0,2,3,7,0.0,34.01,83.33,66.67,JWU_PROVIDENCE_WBB
JWU (Providence),03,"Foley,Brianne",34,4.0,10.0,,3.0,6,,3,4.0,,2,5,7,1,0,2,2,1,14,6.25,14.53,55.0,40.0,JWU_PROVIDENCE_WBB
JWU (Providence),05,"Lora,Alexa",26,5.0,8.0,,2.0,3,,3,7.0,,2,3,5,6,2,0,3,3,15,6.25,21.31,75.0,87.5,JWU_PROVIDENCE_WBB
JWU (Providence),07,"Suero,Isabella",31,6.0,22.0,,4.0,14,,2,2.0,,0,6,6,4,0,1,1,2,18,0.0,4.19,36.36,9.09,JWU_PROVIDENCE_WBB
JWU (Providence),10,"Moley,Keira",0,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,JWU_PROVIDENCE_WBB
JWU (Providence),20,"Thompson,Kyla",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,1,0,0,2,0,0.0,,,,JWU_PROVIDENCE_WBB
JWU (Providence),21,"Clark,Madison",5,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,0,0.0,100.0,,,JWU_PROVIDENCE_WBB
JWU (Providence),32,"Johnson,Maiyah",18,2.0,4.0,,1.0,1,,0,0.0,,3,1,4,0,0,0,0,1,5,9.09,0.0,62.5,0.0,JWU_PROVIDENCE_WBB
JWU (Providence),33,"Jaffray,Grace",38,6.0,22.0,,2.0,11,,9,9.0,,3,8,11,3,0,0,3,3,23,9.09,10.36,31.82,40.91,JWU_PROVIDENCE_WBB
JWU (Providence),50,"Caruso,Mikayla",25,0.0,6.0,,0.0,0,,1,2.0,,4,4,8,0,0,0,0,4,1,11.76,0.0,0.0,33.33,JWU_PROVIDENCE_WBB
JWU (Providence),TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,JWU_PROVIDENCE_WBB
Elms,01,"Smith,Heaven",1,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,JWU_PROVIDENCE_WBB
Elms,02,"Guerrier,Phonia",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,JWU_PROVIDENCE_WBB
Elms,04,"Pacheco,Mia",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,,,,JWU_PROVIDENCE_WBB
Elms,10,"Turco,Mary",28,6.0,11.0,,0.0,0,,2,5.0,,4,11,15,3,1,3,3,4,14,12.12,18.52,54.55,45.45,JWU_PROVIDENCE_WBB
Elms,12,"Lewis,Jade",30,5.0,19.0,,2.0,4,,2,2.0,,2,3,5,0,1,1,2,4,14,6.45,9.14,31.58,10.53,JWU_PROVIDENCE_WBB
Elms,13,"Uribe,Talia",22,0.0,4.0,,0.0,1,,6,8.0,,2,3,5,0,0,0,3,4,6,6.45,28.52,0.0,200.0,JWU_PROVIDENCE_WBB
Elms,14,"Gorski,Jenny",2,0.0,1.0,,0.0,0,,1,2.0,,1,0,1,0,0,0,0,0,1,3.33,0.0,0.0,200.0,JWU_PROVIDENCE_WBB
Elms,15,"Barron,Shea",24,1.0,5.0,,1.0,2,,1,2.0,,1,1,2,1,1,0,0,1,4,3.33,0.0,30.0,40.0,JWU_PROVIDENCE_WBB
Elms,20,"LeBel,Kelly",7,1.0,2.0,,1.0,2,,0,0.0,,0,2,2,1,0,1,1,0,3,0.0,33.33,75.0,0.0,JWU_PROVIDENCE_WBB
Elms,22,"Johnston,Rahmia",38,3.0,8.0,,1.0,4,,4,6.0,,1,7,8,3,3,0,3,4,11,3.33,21.99,43.75,75.0,JWU_PROVIDENCE_WBB
Elms,23,"Graham,Piper",30,3.0,12.0,,2.0,7,,2,2.0,,1,2,3,2,0,0,0,3,10,3.33,0.0,33.33,16.67,JWU_PROVIDENCE_WBB
Elms,24,"Andrade,Sophia",14,1.0,2.0,,1.0,2,,0,0.0,,0,1,1,0,1,0,2,1,3,0.0,50.0,75.0,0.0,JWU_PROVIDENCE_WBB
Elms,32,"Scott,Ta'Niyah",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,,,,JWU_PROVIDENCE_WBB
Elms,44,"Mildner,Stephanie",1,0.0,1.0,,0.0,0,,0,2.0,,1,0,1,0,0,0,1,0,0,3.33,34.72,0.0,200.0,JWU_PROVIDENCE_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,JWU_PROVIDENCE_WBB
