Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:40,09:02,-1,00:38,1st Half,0.6333333333333333,-1.58,-39.5,JWU_PROVIDENCE_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:02,07:38,-2,01:24,1st Half,1.4,-1.43,-35.75,JWU_PROVIDENCE_WBB
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",07:38,06:41,2,00:57,1st Half,0.95,2.11,52.75,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",06:41,04:42,2,01:59,1st Half,1.9833333333333334,1.01,25.25,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",04:42,03:11,-3,01:31,1st Half,1.5166666666666666,-1.98,-49.5,JWU_PROVIDENCE_WBB
"('LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",03:11,01:40,1,01:31,1st Half,1.5166666666666666,0.66,16.5,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",01:40,09:42,2,08:02,2nd Half,8.033333333333333,0.25,6.25,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:42,07:51,-1,01:51,2nd Half,1.85,-0.54,-13.5,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",07:51,06:18,-1,01:33,2nd Half,1.55,-0.65,-16.25,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",06:18,04:29,-1,01:49,2nd Half,1.8166666666666667,-0.55,-13.75,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",04:29,03:32,1,00:57,2nd Half,0.95,1.05,26.25,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",03:32,02:18,-4,01:14,2nd Half,1.2333333333333334,-3.24,-81.0,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",02:18,10:00,-1,07:42,2nd Half,7.7,-0.13,-3.25,JWU_PROVIDENCE_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",10:00,03:49,-16,06:11,2nd Half,6.183333333333334,-2.59,-64.75,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY')",03:49,02:55,-3,00:54,2nd Half,0.9,-3.33,-83.25,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",02:55,10:00,4,07:05,2nd Half,7.083333333333333,0.56,14.0,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",10:00,08:42,2,01:18,2nd Half,1.3,1.54,38.5,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",08:42,08:18,0,00:24,2nd Half,0.4,0.0,0.0,JWU_PROVIDENCE_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",08:18,03:44,-3,04:34,2nd Half,4.566666666666666,-0.66,-16.5,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",03:44,00:04,2,03:40,2nd Half,3.6666666666666665,0.55,13.75,JWU_PROVIDENCE_WBB
