Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-20,11:23,JWU_PROVIDENCE_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-2,01:24,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",2,00:57,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",2,01:59,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-4,03:22,JWU_PROVIDENCE_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",1,01:31,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",2,08:02,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",-1,01:57,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-1,01:49,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY')",1,00:57,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-4,01:14,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",1,11:22,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'TURCO,MARY', 'URIBE,TALIA')",-3,00:54,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY')",4,07:05,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY')",2,01:18,JWU_PROVIDENCE_WBB
