Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-120.75,-4.83,11:23,JWU_PROVIDENCE_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-35.75,-1.43,01:24,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",52.75,2.11,00:57,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",25.25,1.01,01:59,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",-63.0,-2.52,03:22,JWU_PROVIDENCE_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",16.5,0.66,01:31,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",6.25,0.25,08:02,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",-16.25,-0.65,01:57,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-13.75,-0.55,01:49,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY')",26.25,1.05,00:57,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-81.0,-3.24,01:14,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",10.5,0.42,11:22,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'TURCO,MARY', 'URIBE,TALIA')",-83.25,-3.33,00:54,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY')",14.0,0.56,07:05,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY')",38.5,1.54,01:18,JWU_PROVIDENCE_WBB
