Player,Plus/Minus,Game
"URIBE,TALIA",-26,JWU_PROVIDENCE_WBB
"JOHNSTON,RAHMIA",9,JWU_PROVIDENCE_WBB
"LEWIS,JADE",-9,JWU_PROVIDENCE_WBB
"TURCO,MARY",-17,JWU_PROVIDENCE_WBB
"GRAHAM,PIPER",-11,JWU_PROVIDENCE_WBB
"GORSKI,JENNY",0,JWU_PROVIDENCE_WBB
"BARRON,SHEA",-2,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA",-6,JWU_PROVIDENCE_WBB
"LEBEL,KELLY",4,JWU_PROVIDENCE_WBB
"SMITH,HEAVEN",-4,JWU_PROVIDENCE_WBB
"GUERRIER,PHONIA",-4,JWU_PROVIDENCE_WBB
"PACHECO,MIA",-4,JWU_PROVIDENCE_WBB
"MILDNER,STEPHANIE",-4,JWU_PROVIDENCE_WBB
