Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-39.5,-1.58,00:38,JWU_PROVIDENCE_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-35.75,-1.43,01:24,JWU_PROVIDENCE_WBB
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",52.75,2.11,00:57,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",25.25,1.01,01:59,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-49.5,-1.98,01:31,JWU_PROVIDENCE_WBB
"('LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",16.5,0.66,01:31,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",6.25,0.25,08:02,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-13.5,-0.54,01:51,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-16.25,-0.65,01:33,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",-13.75,-0.55,01:49,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",26.25,1.05,00:57,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-81.0,-3.24,01:14,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-3.25,-0.13,07:42,JWU_PROVIDENCE_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-64.75,-2.59,06:11,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY')",-83.25,-3.33,00:54,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",14.0,0.56,07:05,JWU_PROVIDENCE_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",38.5,1.54,01:18,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",0.0,0.0,00:24,JWU_PROVIDENCE_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-16.5,-0.66,04:34,JWU_PROVIDENCE_WBB
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",13.75,0.55,03:40,JWU_PROVIDENCE_WBB
