Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Lasell,02,"Sullivan-Sanders,Mia",21,2.0,8.0,,0.0,0,,1,2.0,,4,2,6,0,2,0,1,2,5,12.12,10.12,25.0,25.0,LASELL_WBB2
Lasell,03,"Nealy,Juju",29,4.0,8.0,,2.0,4,,0,0.0,,0,0,0,3,1,0,2,2,10,0.0,20.0,62.5,0.0,LASELL_WBB2
Lasell,05,"Mack,Blaize",17,1.0,4.0,,0.0,0,,3,5.0,,1,2,3,1,1,0,3,5,5,3.33,32.61,25.0,125.0,LASELL_WBB2
Lasell,08,"DePina,Jasmine",6,0.0,0.0,,0.0,0,,1,4.0,,0,1,1,0,0,0,1,0,1,0.0,36.23,,inf,LASELL_WBB2
Lasell,10,"Johnson,Laura",24,1.0,10.0,,0.0,0,,2,3.0,,5,7,12,2,0,1,2,0,4,14.71,15.02,10.0,30.0,LASELL_WBB2
Lasell,11,"Major,Shirle",25,5.0,12.0,,3.0,7,,0,0.0,,1,0,1,1,2,0,3,4,13,3.33,20.0,54.17,0.0,LASELL_WBB2
Lasell,14,"Clancy,Teagan",0,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,,,,LASELL_WBB2
Lasell,20,"Bulson-Cuozzo,Alexis",16,1.0,5.0,,0.0,2,,0,0.0,,0,3,3,1,0,0,0,1,2,0.0,0.0,20.0,0.0,LASELL_WBB2
Lasell,24,"Leigh,Nai",11,1.0,4.0,,0.0,1,,0,0.0,,1,0,1,0,1,0,0,1,2,3.33,0.0,25.0,0.0,LASELL_WBB2
Lasell,30,"Johnson,Hailey",17,4.0,8.0,,0.0,0,,0,0.0,,4,3,7,0,0,0,1,4,8,12.12,11.11,50.0,0.0,LASELL_WBB2
Lasell,31,"Williamson,Daeserae",11,1.0,4.0,,0.0,1,,4,4.0,,2,1,3,0,0,0,1,2,6,6.45,14.79,25.0,100.0,LASELL_WBB2
Lasell,33,"Duclos,Abigail",23,1.0,9.0,,1.0,5,,1,2.0,,2,4,6,3,2,0,4,3,4,6.45,28.82,16.67,22.22,LASELL_WBB2
Lasell,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,LASELL_WBB2
Elms,10,"Turco,Mary",18,3.0,6.0,,0.0,0,,0,0.0,,1,5,6,0,0,0,3,4,6,4.17,33.33,50.0,0.0,LASELL_WBB2
Elms,11,"Wasiewicz,Gabby",5,0.0,1.0,,0.0,1,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,LASELL_WBB2
Elms,12,"Lewis,Jade",38,7.0,16.0,,1.0,4,,7,12.0,,0,3,3,3,3,0,7,1,22,0.0,24.75,46.88,75.0,LASELL_WBB2
Elms,13,"Uribe,Talia",32,3.0,5.0,,0.0,0,,3,4.0,,2,3,5,2,0,0,4,3,9,8.0,37.17,60.0,80.0,LASELL_WBB2
Elms,14,"Gorski,Jenny",20,0.0,0.0,,0.0,0,,1,2.0,,3,8,11,0,2,1,1,4,1,11.54,53.19,,inf,LASELL_WBB2
Elms,15,"Barron,Shea",14,0.0,3.0,,0.0,2,,0,0.0,,0,2,2,0,0,0,0,3,0,0.0,0.0,0.0,0.0,LASELL_WBB2
Elms,22,"Johnston,Rahmia",38,5.0,10.0,,3.0,4,,9,12.0,,0,2,2,1,2,0,4,2,22,0.0,20.75,65.0,120.0,LASELL_WBB2
Elms,23,"Graham,Piper",19,0.0,3.0,,0.0,3,,0,0.0,,0,3,3,1,0,1,2,0,0,0.0,40.0,0.0,0.0,LASELL_WBB2
Elms,24,"Andrade,Sophia",16,2.0,4.0,,2.0,2,,0,0.0,,0,2,2,1,1,0,1,3,6,0.0,20.0,75.0,0.0,LASELL_WBB2
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,1,0,,0.0,100.0,,,LASELL_WBB2
