Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-18.5,-0.74,04:04,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER')",-38.25,-1.53,03:16,LASELL_WBB2
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'URIBE,TALIA')",-26.5,-1.06,01:53,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'ANDRADE,SOPHIA')",2.75,0.11,09:17,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'GRAHAM,PIPER')",-88.25,-3.53,00:51,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'BARRON,SHEA')",0.0,0.0,00:55,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'BARRON,SHEA')",68.25,2.73,00:44,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA')",39.25,1.57,01:55,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'URIBE,TALIA')",45.25,1.81,03:19,LASELL_WBB2
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'ANDRADE,SOPHIA', 'URIBE,TALIA')",-214.25,-8.57,00:07,LASELL_WBB2
"('LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'ANDRADE,SOPHIA', 'URIBE,TALIA')",-3.25,-0.13,07:51,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",50.5,2.02,01:29,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'TURCO,MARY')",-35.5,-1.42,02:07,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'BARRON,SHEA', 'TURCO,MARY', 'ANDRADE,SOPHIA')",-32.5,-1.3,00:46,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'BARRON,SHEA', 'GORSKI,JENNY', 'ANDRADE,SOPHIA')",65.5,2.62,03:03,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'URIBE,TALIA')",81.0,3.24,00:37,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'URIBE,TALIA')",-56.75,-2.27,02:12,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'BARRON,SHEA', 'URIBE,TALIA')",0.0,0.0,00:32,LASELL_WBB2
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'BARRON,SHEA', 'ANDRADE,SOPHIA', 'URIBE,TALIA')",24.0,0.96,05:12,LASELL_WBB2
