Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Lasell,02,"Sullivan-Sanders,Mia",12,1.0,3.0,,0.0,0,,0,0.0,,2,3,5,0,0,1,2,3,2,7.69,40.0,33.33,0.0,LASELL_WBB
Lasell,03,"Nealy,Juju",28,2.0,9.0,,1.0,4,,0,0.0,,0,1,1,2,2,1,0,1,5,0.0,0.0,27.78,0.0,LASELL_WBB
Lasell,05,"Mack,Blaize",26,8.0,16.0,,0.0,1,,2,3.0,,3,1,4,1,1,1,1,1,18,11.11,5.46,50.0,18.75,LASELL_WBB
Lasell,08,"DePina,Jasmine",12,2.0,2.0,,0.0,0,,0,0.0,,0,2,2,0,1,0,1,3,4,0.0,33.33,100.0,0.0,LASELL_WBB
Lasell,10,"Johnson,Laura",25,3.0,8.0,,0.0,0,,1,2.0,,4,7,11,1,1,0,1,0,7,14.29,10.12,37.5,25.0,LASELL_WBB
Lasell,11,"Major,Shirle",23,4.0,10.0,,2.0,5,,1,2.0,,3,1,4,5,1,0,3,4,11,11.11,21.61,50.0,20.0,LASELL_WBB
Lasell,14,"Clancy,Teagan",6,0.0,1.0,,0.0,1,,0,0.0,,0,0,0,0,1,0,1,0,0,0.0,50.0,0.0,0.0,LASELL_WBB
Lasell,20,"Bulson-Cuozzo,Alexis",19,1.0,6.0,,1.0,2,,0,0.0,,0,2,2,1,1,0,3,1,3,0.0,33.33,25.0,0.0,LASELL_WBB
Lasell,24,"Leigh,Nai",9,0.0,1.0,,0.0,1,,0,0.0,,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,LASELL_WBB
Lasell,31,"Williamson,Daeserae",11,0.0,3.0,,0.0,0,,0,0.0,,1,3,4,2,1,0,2,3,0,4.0,40.0,0.0,0.0,LASELL_WBB
Lasell,33,"Duclos,Abigail",29,3.0,6.0,,0.0,0,,2,5.0,,2,1,3,0,0,1,6,2,8,7.69,42.25,50.0,83.33,LASELL_WBB
Lasell,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,LASELL_WBB
Elms,10,"Turco,Mary",31,6.0,11.0,,0.0,0,,0,0.0,,2,10,12,1,1,2,4,2,12,8.33,26.67,54.55,0.0,LASELL_WBB
Elms,11,"Wasiewicz,Gabby",7,0.0,5.0,,0.0,5,,0,0.0,,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,LASELL_WBB
Elms,12,"Lewis,Jade",30,6.0,11.0,,2.0,3,,2,2.0,,2,1,3,1,1,0,3,4,16,8.33,20.16,63.64,18.18,LASELL_WBB
Elms,13,"Uribe,Talia",16,1.0,4.0,,0.0,0,,4,4.0,,0,2,2,0,1,0,2,5,6,0.0,25.77,25.0,100.0,LASELL_WBB
Elms,14,"Gorski,Jenny",21,0.0,3.0,,0.0,0,,0,0.0,,4,0,4,0,0,0,2,0,0,15.38,40.0,0.0,0.0,LASELL_WBB
Elms,15,"Barron,Shea",17,0.0,4.0,,0.0,3,,0,0.0,,0,1,1,2,0,0,0,3,0,0.0,0.0,0.0,0.0,LASELL_WBB
Elms,22,"Johnston,Rahmia",39,5.0,14.0,,2.0,6,,6,6.0,,0,5,5,2,2,1,2,0,18,0.0,10.73,42.86,42.86,LASELL_WBB
Elms,23,"Graham,Piper",23,3.0,10.0,,1.0,5,,0,0.0,,2,2,4,2,1,0,4,1,7,8.33,28.57,35.0,0.0,LASELL_WBB
Elms,24,"Andrade,Sophia",16,1.0,1.0,,1.0,1,,1,2.0,,1,2,3,0,0,0,1,2,4,4.35,34.72,150.0,200.0,LASELL_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,LASELL_WBB
