Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:48,07:12,4,02:36,1st Half,2.6,1.54,38.5,LASELL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY')",07:12,06:44,-1,00:28,1st Half,0.4666666666666667,-2.14,-53.5,LASELL_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",06:44,04:18,-5,02:26,1st Half,2.4333333333333336,-2.05,-51.25,LASELL_WBB
"('URIBE,TALIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",04:18,04:11,0,00:07,1st Half,0.11666666666666667,0.0,0.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",04:11,03:12,0,00:59,1st Half,0.9833333333333333,0.0,0.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY')",03:12,01:32,-2,01:40,1st Half,1.6666666666666665,-1.2,-30.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",01:32,10:00,-2,08:28,2nd Half,8.466666666666667,-0.24,-6.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER')",10:00,08:20,-2,01:40,2nd Half,1.6666666666666665,-1.2,-30.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'TURCO,MARY')",08:20,07:09,-2,01:11,2nd Half,1.1833333333333333,-1.69,-42.25,LASELL_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'ANDRADE,SOPHIA')",07:09,03:19,-4,03:50,2nd Half,3.8333333333333335,-1.04,-26.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'ANDRADE,SOPHIA')",03:19,01:23,2,01:56,2nd Half,1.9333333333333333,1.03,25.75,LASELL_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA')",01:23,09:40,2,08:17,2nd Half,8.283333333333333,0.24,6.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:40,06:12,9,03:28,2nd Half,3.466666666666667,2.6,65.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",06:12,10:00,2,03:48,2nd Half,3.8,0.53,13.25,LASELL_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'TURCO,MARY', 'ANDRADE,SOPHIA')",10:00,08:03,-2,01:57,2nd Half,1.95,-1.03,-25.75,LASELL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'TURCO,MARY')",08:03,07:40,2,00:23,2nd Half,0.38333333333333336,5.22,130.5,LASELL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'TURCO,MARY')",07:40,07:06,0,00:34,2nd Half,0.5666666666666667,0.0,0.0,LASELL_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",07:06,04:38,2,02:28,2nd Half,2.466666666666667,0.81,20.25,LASELL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",04:38,03:10,-2,01:28,2nd Half,1.4666666666666668,-1.36,-34.0,LASELL_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'ANDRADE,SOPHIA')",03:10,03:10,0,00:00,2nd Half,0.0,,,LASELL_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'ANDRADE,SOPHIA')",03:10,01:00,1,02:10,2nd Half,2.1666666666666665,0.46,11.5,LASELL_WBB
"('JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",01:00,00:00,5,01:00,2nd Half,1.0,5.0,125.0,LASELL_WBB
