Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",13,06:04,LASELL_WBB
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-1,00:28,LASELL_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-5,02:26,LASELL_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0,00:07,LASELL_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",2,03:27,LASELL_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-2,01:40,LASELL_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",3,09:28,LASELL_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",-2,01:40,LASELL_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-2,01:11,LASELL_WBB
"('ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-4,03:50,LASELL_WBB
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",2,01:56,LASELL_WBB
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",2,08:17,LASELL_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",0,05:16,LASELL_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY')",-2,01:57,LASELL_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",2,00:23,LASELL_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",0,00:34,LASELL_WBB
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",0,00:00,LASELL_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",1,02:10,LASELL_WBB
