Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Mitchell,03,"Streitmatter,Jordyn",32,3.0,10.0,,0.0,2,,0,0.0,,0,2,2,2,1,0,5,2,6,0.0,33.33,30.0,0.0,MITCHELL_WBB
Mitchell,10,"Berrio,Shaelene",12,1.0,3.0,,0.0,0,,0,0.0,,1,1,2,0,2,0,2,1,2,4.17,40.0,33.33,0.0,MITCHELL_WBB
Mitchell,11,"Hypolite,Jade",37,3.0,8.0,,1.0,1,,2,4.0,,0,2,2,4,1,0,8,2,9,0.0,45.05,43.75,50.0,MITCHELL_WBB
Mitchell,12,"Beddoe,Jamya",40,1.0,5.0,,1.0,2,,2,4.0,,2,2,4,3,3,1,4,3,5,8.0,37.17,30.0,80.0,MITCHELL_WBB
Mitchell,22,"Lucas,Kyrsten",30,2.0,8.0,,1.0,4,,0,0.0,,1,5,6,3,2,0,1,3,5,4.17,11.11,31.25,0.0,MITCHELL_WBB
Mitchell,23,"Teague,N’Tai",32,8.0,15.0,,3.0,5,,3,4.0,,1,9,10,0,2,1,4,4,22,4.17,19.27,63.33,26.67,MITCHELL_WBB
Mitchell,24,"Sanchez,Nanda",17,0.0,3.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,0,0.0,25.0,0.0,0.0,MITCHELL_WBB
Mitchell,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,1,1,,,,0,0,,0.0,,,,MITCHELL_WBB
Elms,01,"Smith,Heaven",2,1.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,2,0.0,0.0,100.0,0.0,MITCHELL_WBB
Elms,02,"Guerrier,Phonia",1,0.0,0.0,,0.0,0,,0,0.0,,0,2,2,0,0,0,1,0,0,0.0,100.0,,,MITCHELL_WBB
Elms,04,"Pacheco,Mia",4,0.0,1.0,,0.0,1,,0,0.0,,0,0,0,0,0,0,1,1,0,0.0,50.0,0.0,0.0,MITCHELL_WBB
Elms,10,"Turco,Mary",26,8.0,12.0,,0.0,0,,2,4.0,,5,5,10,3,2,2,3,0,18,18.52,17.9,66.67,33.33,MITCHELL_WBB
Elms,11,"Wasiewicz,Gabby",12,2.0,10.0,,2.0,8,,0,0.0,,1,1,2,1,2,1,1,1,6,4.35,9.09,30.0,0.0,MITCHELL_WBB
Elms,12,"Lewis,Jade",22,3.0,11.0,,1.0,4,,0,0.0,,4,1,5,7,1,0,3,3,7,15.38,21.43,31.82,0.0,MITCHELL_WBB
Elms,13,"Uribe,Talia",19,3.0,7.0,,0.0,1,,0,2.0,,1,2,3,1,3,0,3,2,6,4.35,27.57,42.86,28.57,MITCHELL_WBB
Elms,14,"Gorski,Jenny",15,4.0,6.0,,0.0,0,,1,1.0,,4,2,6,0,2,0,1,1,9,15.38,13.44,66.67,16.67,MITCHELL_WBB
Elms,15,"Barron,Shea",16,1.0,5.0,,1.0,2,,0,0.0,,0,0,0,1,1,0,0,3,3,0.0,0.0,30.0,0.0,MITCHELL_WBB
Elms,20,"LeBel,Kelly",11,2.0,6.0,,1.0,5,,1,2.0,,0,1,1,1,1,0,0,0,6,0.0,0.0,41.67,33.33,MITCHELL_WBB
Elms,22,"Johnston,Rahmia",35,3.0,9.0,,1.0,5,,3,4.0,,3,3,6,5,2,0,2,0,10,12.0,15.67,38.89,44.44,MITCHELL_WBB
Elms,23,"Graham,Piper",28,3.0,9.0,,1.0,5,,0,0.0,,2,0,2,2,0,0,0,2,7,8.33,0.0,38.89,0.0,MITCHELL_WBB
Elms,24,"Andrade,Sophia",7,1.0,2.0,,0.0,1,,0,0.0,,0,5,5,0,0,0,0,2,2,0.0,0.0,50.0,0.0,MITCHELL_WBB
Elms,44,"Mildner,Stephanie",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,MITCHELL_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,1,0,1,,,,2,0,,4.35,100.0,,,MITCHELL_WBB
