Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,03:48,MITCHELL_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",0.0,0.0,00:29,MITCHELL_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",0.0,0.0,00:57,MITCHELL_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",34.5,1.38,01:27,MITCHELL_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",-34.0,-1.36,00:44,MITCHELL_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",39.5,1.58,01:16,MITCHELL_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",0.0,0.0,08:43,MITCHELL_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",,,00:00,MITCHELL_WBB
"('GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA')",59.0,2.36,02:07,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA')",-75.0,-3.0,01:00,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'BARRON,SHEA')",0.0,0.0,00:20,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",26.25,1.05,01:54,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-60.0,-2.4,00:50,MITCHELL_WBB
"('GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",70.0,2.8,01:47,MITCHELL_WBB
"('GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",0.0,0.0,01:23,MITCHELL_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",3.0,0.12,08:09,MITCHELL_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",47.75,1.91,02:37,MITCHELL_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",93.75,3.75,01:04,MITCHELL_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",0.0,0.0,00:35,MITCHELL_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",17.0,0.68,01:28,MITCHELL_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-16.75,-0.67,01:30,MITCHELL_WBB
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",3.0,0.12,08:26,MITCHELL_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",63.25,2.53,02:46,MITCHELL_WBB
"('GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-91.5,-3.66,01:22,MITCHELL_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",115.5,4.62,00:13,MITCHELL_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'TURCO,MARY', 'BARRON,SHEA', 'JOHNSTON,RAHMIA')",28.0,1.12,01:47,MITCHELL_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'BARRON,SHEA', 'URIBE,TALIA', 'PACHECO,MIA')",-12.0,-0.48,02:06,MITCHELL_WBB
"('GRAHAM,PIPER', 'BARRON,SHEA', 'URIBE,TALIA', 'PACHECO,MIA', 'MILDNER,STEPHANIE')",0.0,0.0,00:16,MITCHELL_WBB
"('SMITH,HEAVEN', 'GRAHAM,PIPER', 'GUERRIER,PHONIA', 'PACHECO,MIA', 'MILDNER,STEPHANIE')",43.5,1.74,01:09,MITCHELL_WBB
