Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,10,"Turco,Mary",25,5.0,9.0,,0.0,0,,4,8.0,,2,8,10,0,2,3,4,4,14,5.56,24.21,55.56,88.89,NAZARETH
Elms,12,"Lewis,Jade",36,6.0,13.0,,1.0,2,,3,4.0,,2,5,7,2,2,0,6,2,16,5.56,28.9,50.0,30.77,NAZARETH
Elms,13,"Uribe,Talia",26,0.0,6.0,,0.0,0,,8,12.0,,1,2,3,1,1,0,1,0,8,2.86,8.14,0.0,200.0,NAZARETH
Elms,14,"Gorski,Jenny",15,1.0,6.0,,0.0,0,,0,0.0,,1,1,2,2,1,0,3,2,2,2.86,33.33,16.67,0.0,NAZARETH
Elms,15,"Barron,Shea",13,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,2,0,0,1,0,0.0,0.0,0.0,0.0,NAZARETH
Elms,20,"LeBel,Kelly",23,2.0,7.0,,0.0,3,,1,2.0,,0,1,1,1,1,0,1,0,5,0.0,11.26,28.57,28.57,NAZARETH
Elms,22,"Johnston,Rahmia",32,4.0,11.0,,1.0,6,,0,2.0,,0,3,3,1,2,0,1,4,9,0.0,7.76,40.91,18.18,NAZARETH
Elms,23,"Graham,Piper",24,1.0,4.0,,1.0,3,,0,0.0,,1,0,1,1,0,0,1,0,3,2.86,20.0,37.5,0.0,NAZARETH
Elms,24,"Andrade,Sophia",3,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,0,0.0,100.0,,,NAZARETH
Elms,44,"Mildner,Stephanie",3,1.0,1.0,,0.0,0,,0,0.0,,1,0,1,0,0,0,1,0,2,2.86,50.0,100.0,0.0,NAZARETH
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,2,1,3,,,,1,0,,5.56,100.0,,,NAZARETH
Nazareth,01,"Caraballo,Morgan",19,2.0,5.0,,0.0,1,,0,2.0,,2,1,3,1,3,0,1,0,4,8.7,14.53,40.0,40.0,NAZARETH
Nazareth,02,"Anglin,Kiara",21,3.0,3.0,,0.0,0,,2,3.0,,2,4,6,5,3,0,0,2,8,8.7,0.0,100.0,100.0,NAZARETH
Nazareth,04,"MacLachlan,Katie",16,3.0,6.0,,1.0,3,,2,2.0,,2,0,2,0,2,1,1,2,9,8.7,12.69,58.33,33.33,NAZARETH
Nazareth,05,"Littlefield,Payton",15,2.0,6.0,,1.0,5,,2,2.0,,0,1,1,0,0,0,0,1,7,0.0,0.0,41.67,33.33,NAZARETH
Nazareth,11,"Fusilli,Leah",18,4.0,4.0,,1.0,1,,1,2.0,,0,4,4,5,1,1,2,5,10,0.0,29.07,112.5,50.0,NAZARETH
Nazareth,12,"McDowell,Sarina",22,8.0,10.0,,0.0,0,,1,1.0,,1,4,5,6,2,1,2,0,17,4.55,16.08,80.0,10.0,NAZARETH
Nazareth,13,"Kelly,Madalyn",20,3.0,6.0,,2.0,5,,0,0.0,,1,1,2,3,1,0,2,0,8,4.55,25.0,66.67,0.0,NAZARETH
Nazareth,14,"Benetti,Molly",24,7.0,11.0,,0.0,1,,2,2.0,,3,12,15,3,0,5,2,1,16,12.5,14.41,63.64,18.18,NAZARETH
Nazareth,23,"Johnson,Madilann",16,1.0,4.0,,1.0,4,,0,0.0,,0,2,2,2,2,0,3,0,3,0.0,42.86,37.5,0.0,NAZARETH
Nazareth,24,"Schultz,Brayden",12,4.0,9.0,,0.0,0,,2,2.0,,2,1,3,1,1,1,2,4,10,8.7,16.84,44.44,22.22,NAZARETH
Nazareth,25,"Schuey,Tessa",17,1.0,6.0,,1.0,5,,0,0.0,,0,3,3,2,0,0,3,1,3,0.0,33.33,25.0,0.0,NAZARETH
Nazareth,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,1,1,,,,0,0,,0.0,,,,NAZARETH
