Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",09:46,07:00,-1,02:46,1st Half,2.7666666666666666,-0.36,-9.0,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER')",07:00,06:13,-4,00:47,1st Half,0.7833333333333333,-5.11,-127.75,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'LEBEL,KELLY', 'GRAHAM,PIPER')",06:13,06:11,-2,00:02,1st Half,0.03333333333333333,-60.0,-1500.0,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'LEBEL,KELLY', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER')",06:11,05:44,-3,00:27,1st Half,0.45,-6.67,-166.75,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'LEBEL,KELLY', 'ANDRADE,SOPHIA', 'URIBE,TALIA')",05:44,04:09,-3,01:35,1st Half,1.5833333333333335,-1.89,-47.25,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'URIBE,TALIA')",04:09,01:22,-11,02:47,1st Half,2.783333333333333,-3.95,-98.75,NAZARETH
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'BARRON,SHEA')",01:22,09:54,0,08:32,2nd Half,8.533333333333333,0.0,0.0,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'BARRON,SHEA')",09:54,06:45,3,03:09,2nd Half,3.15,0.95,23.75,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'URIBE,TALIA')",06:45,05:52,-5,00:53,2nd Half,0.8833333333333333,-5.66,-141.5,NAZARETH
"('LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'TURCO,MARY', 'LEBEL,KELLY')",05:52,03:55,4,01:57,2nd Half,1.95,2.05,51.25,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'LEBEL,KELLY')",03:55,03:25,-1,00:30,2nd Half,0.5,-2.0,-50.0,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'LEBEL,KELLY')",03:25,02:44,2,00:41,2nd Half,0.6833333333333333,2.93,73.25,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'URIBE,TALIA', 'LEBEL,KELLY')",02:44,03:50,-12,01:06,2nd Half,1.1,-10.91,-272.75,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA', 'GORSKI,JENNY')",03:50,03:39,1,00:11,2nd Half,0.18333333333333332,5.45,136.25,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'LEBEL,KELLY', 'URIBE,TALIA', 'GORSKI,JENNY')",03:39,02:43,-2,00:56,2nd Half,0.9333333333333333,-2.14,-53.5,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'LEBEL,KELLY', 'TURCO,MARY', 'GORSKI,JENNY')",02:43,01:29,2,01:14,2nd Half,1.2333333333333334,1.62,40.5,NAZARETH
"('LEWIS,JADE', 'BARRON,SHEA', 'LEBEL,KELLY', 'TURCO,MARY', 'GORSKI,JENNY')",01:29,07:20,-1,05:51,2nd Half,5.85,-0.17,-4.25,NAZARETH
"('LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'URIBE,TALIA', 'GORSKI,JENNY')",07:20,06:41,-1,00:39,2nd Half,0.65,-1.54,-38.5,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA', 'GORSKI,JENNY')",06:41,05:24,-2,01:17,2nd Half,1.2833333333333332,-1.56,-39.0,NAZARETH
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA', 'TURCO,MARY')",05:24,04:04,-2,01:20,2nd Half,1.3333333333333333,-1.5,-37.5,NAZARETH
"('JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'URIBE,TALIA', 'TURCO,MARY')",04:04,02:38,3,01:26,2nd Half,1.4333333333333333,2.09,52.25,NAZARETH
"('JOHNSTON,RAHMIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'URIBE,TALIA', 'BARRON,SHEA')",02:38,00:58,-3,01:40,2nd Half,1.6666666666666665,-1.8,-45.0,NAZARETH
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'URIBE,TALIA', 'BARRON,SHEA', 'ANDRADE,SOPHIA')",00:58,00:23,0,00:35,2nd Half,0.5833333333333334,0.0,0.0,NAZARETH
