Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-9.0,-0.36,02:46,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-127.75,-5.11,00:47,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-1500.0,-60.0,00:02,NAZARETH
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-166.75,-6.67,00:27,NAZARETH
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-47.25,-1.89,01:35,NAZARETH
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-98.75,-3.95,02:47,NAZARETH
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'LEBEL,KELLY')",0.0,0.0,08:32,NAZARETH
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",23.75,0.95,03:09,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-141.5,-5.66,00:53,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'LEBEL,KELLY')",51.25,2.05,01:57,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-50.0,-2.0,00:30,NAZARETH
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",73.25,2.93,00:41,NAZARETH
"('LEWIS,JADE', 'URIBE,TALIA', 'MILDNER,STEPHANIE', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-272.75,-10.91,01:06,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",136.25,5.45,00:11,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-53.5,-2.14,00:56,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",40.5,1.62,01:14,NAZARETH
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY')",-4.25,-0.17,05:51,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA', 'LEBEL,KELLY')",-38.5,-1.54,00:39,NAZARETH
"('GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",-39.0,-1.56,01:17,NAZARETH
"('LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",-37.5,-1.5,01:20,NAZARETH
"('TURCO,MARY', 'GRAHAM,PIPER', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",52.25,2.09,01:26,NAZARETH
"('BARRON,SHEA', 'GRAHAM,PIPER', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-45.0,-1.8,01:40,NAZARETH
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",0.0,0.0,00:35,NAZARETH
