Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
New England Col.,01,"Moss,Amya",38,3.0,7.0,,0.0,0,,4,8.0,,1,4,5,4,0,0,5,2,10,4.17,32.22,42.86,114.29,NEC_WBB
New England Col.,03,"Scott,Isyss",12,0.0,1.0,,0.0,0,,3,6.0,,1,5,6,0,1,0,0,3,3,4.17,0.0,0.0,600.0,NEC_WBB
New England Col.,04,"Moody,Zaniya",13,2.0,2.0,,0.0,0,,1,2.0,,0,0,0,3,1,0,1,1,5,0.0,25.77,100.0,100.0,NEC_WBB
New England Col.,05,"Creary,Kaira",26,5.0,9.0,,3.0,7,,2,2.0,,0,2,2,0,0,0,4,2,15,0.0,28.82,72.22,22.22,NEC_WBB
New England Col.,12,"Davila,Amanda",1,0.0,1.0,,0.0,1,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NEC_WBB
New England Col.,13,"Lacy,Abigail",9,0.0,3.0,,0.0,1,,1,2.0,,0,0,0,0,0,0,1,1,1,0.0,20.49,0.0,66.67,NEC_WBB
New England Col.,15,"Hutton,Macy",2,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,1,0,0.0,,,,NEC_WBB
New England Col.,20,"Gordon,Macy",8,0.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,1,0,1,1,0,0.0,50.0,0.0,0.0,NEC_WBB
New England Col.,21,"Lively,Ajayah",22,3.0,5.0,,1.0,1,,2,2.0,,1,2,3,0,2,0,2,2,9,4.17,25.38,70.0,40.0,NEC_WBB
New England Col.,23,"Burke,Bailey",40,6.0,9.0,,0.0,1,,0,4.0,,0,6,6,0,5,0,6,0,12,0.0,35.8,66.67,44.44,NEC_WBB
New England Col.,32,"Lewis,Camryn",12,5.0,10.0,,0.0,0,,0,2.0,,4,5,9,0,0,1,0,0,10,14.81,0.0,50.0,20.0,NEC_WBB
New England Col.,33,"McDonald,Mackenzie",9,1.0,3.0,,0.0,0,,0,0.0,,0,2,2,2,0,0,0,0,2,0.0,0.0,33.33,0.0,NEC_WBB
New England Col.,34,"Matlock,Gabriella",8,0.0,4.0,,0.0,0,,0,0.0,,1,0,1,0,0,0,0,3,0,4.17,0.0,0.0,0.0,NEC_WBB
New England Col.,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,1,1,,,,4,0,,0.0,100.0,,,NEC_WBB
Elms,10,"Turco,Mary",22,4.0,7.0,,0.0,0,,5,8.0,,3,9,12,1,4,1,5,5,13,9.38,32.22,57.14,114.29,NEC_WBB
Elms,11,"Wasiewicz,Gabby",16,2.0,7.0,,1.0,5,,3,4.0,,3,0,3,0,1,0,0,2,8,9.38,0.0,35.71,57.14,NEC_WBB
Elms,12,"Lewis,Jade",37,3.0,12.0,,0.0,3,,2,2.0,,3,1,4,5,3,0,6,2,8,9.38,31.78,25.0,16.67,NEC_WBB
Elms,13,"Uribe,Talia",17,1.0,3.0,,0.0,0,,1,2.0,,1,3,4,0,3,0,2,5,3,3.33,34.01,33.33,66.67,NEC_WBB
Elms,14,"Gorski,Jenny",18,0.0,3.0,,0.0,0,,0,0.0,,2,1,3,0,0,1,2,3,0,6.45,40.0,0.0,0.0,NEC_WBB
Elms,15,"Barron,Shea",16,2.0,4.0,,1.0,2,,0,0.0,,0,0,0,1,1,0,1,1,5,0.0,20.0,62.5,0.0,NEC_WBB
Elms,22,"Johnston,Rahmia",39,5.0,18.0,,3.0,13,,1,2.0,,0,7,7,1,1,0,4,3,14,0.0,17.48,36.11,11.11,NEC_WBB
Elms,23,"Graham,Piper",29,2.0,6.0,,0.0,3,,2,2.0,,0,1,1,2,0,0,3,3,6,0.0,30.36,33.33,33.33,NEC_WBB
Elms,24,"Andrade,Sophia",4,0.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,NEC_WBB
Elms,44,"Mildner,Stephanie",2,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,1,0,0.0,50.0,0.0,0.0,NEC_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,NEC_WBB
