Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,1,"Smith, Heaven",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Elms,2,"Guerrier, Phonia",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Elms,4,"Pacheco, Mia",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Elms,10,"Turco, Mary",30,6.0,20.0,30,0.0,0,0,1,1.0,100,7,11,18,1,1,1,8,4,13,20.0,28.13,30.0,5.0,REGIS_WBB
Elms,11,"Wasiewicz, Gabby",8,0.0,3.0,0,0.0,2,0,0,0.0,0,0,2,2,0,0,0,1,0,0,0.0,25.0,0.0,0.0,REGIS_WBB
Elms,12,"Lewis, Jade",38,2.0,10.0,20,1.0,3,33.3,4,4.0,100,0,6,6,3,0,0,8,2,9,0.0,40.49,25.0,40.0,REGIS_WBB
Elms,13,"Uribe, Talia",22,2.0,11.0,18.2,0.0,0,0,6,8.0,75,6,4,10,0,1,0,4,5,10,17.65,21.6,18.18,72.73,REGIS_WBB
Elms,14,"Gorski, Jenny",11,4.0,5.0,80,0.0,0,0,0,0.0,0,0,1,1,0,0,1,1,4,8,0.0,16.67,80.0,0.0,REGIS_WBB
Elms,15,"Barron, Shea",29,3.0,6.0,50,2.0,4,50,2,2.0,100,1,5,6,0,0,0,1,2,10,3.45,12.69,66.67,33.33,REGIS_WBB
Elms,20,"LeBel, Kelly",1,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Elms,21,"Asfaw, Soliyana",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Elms,22,"Johnston, Rahmia",36,2.0,5.0,40,1.0,3,33.3,7,8.0,87.5,1,9,10,2,2,0,2,2,12,3.45,19.01,50.0,160.0,REGIS_WBB
Elms,23,"Graham, Piper",23,1.0,4.0,25,1.0,2,50,0,0.0,0,1,1,2,3,0,0,0,1,3,3.45,0.0,37.5,0.0,REGIS_WBB
Elms,24,"Andrade, Sophia",2,0.0,0.0,0,0.0,0,0,0,0.0,0,0,1,1,0,0,0,1,0,0,0.0,100.0,,,REGIS_WBB
Elms,44,"Mildner, Stephanie",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,2,1,3,,,,0,0,,6.67,,,,REGIS_WBB
Regis (MA),1,"Striggles, Jordyn",32,4.0,12.0,33.3,0.0,6,0,0,0.0,0,0,1,1,1,2,0,0,1,8,0.0,0.0,33.33,0.0,REGIS_WBB
Regis (MA),2,"Marinelli, Erika",26,2.0,8.0,25,1.0,5,20,1,2.0,50,1,0,1,2,0,0,1,2,6,2.38,10.12,31.25,25.0,REGIS_WBB
Regis (MA),3,"Pollini, Emma",17,1.0,4.0,25,1.0,2,50,3,4.0,75,1,1,2,1,1,0,1,2,6,2.38,14.79,37.5,100.0,REGIS_WBB
Regis (MA),4,"Hart, Isabella",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Regis (MA),10,"Zancan, Madi",34,10.0,20.0,50,0.0,1,0,4,5.0,80,4,12,16,3,1,3,2,1,24,8.89,8.26,50.0,25.0,REGIS_WBB
Regis (MA),11,"Fatah, Fatma",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Regis (MA),14,"Doherty, Courtney",29,6.0,18.0,33.3,1.0,4,25,1,2.0,50,2,2,4,3,0,0,2,4,14,4.65,9.58,36.11,11.11,REGIS_WBB
Regis (MA),20,"Perry, Jillian",33,1.0,9.0,11.1,0.0,5,0,3,5.0,60,3,6,9,2,4,0,1,3,5,6.82,8.2,11.11,55.56,REGIS_WBB
Regis (MA),24,"Reynolds, Maya",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Regis (MA),25,"Perdicho, Jesmari",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Regis (MA),31,"Ayala, Serenity",23,0.0,3.0,0,0.0,1,0,1,2.0,50,0,3,3,1,1,0,2,3,1,0.0,34.01,0.0,66.67,REGIS_WBB
Regis (MA),32,"Pollini, Sophia",6,0.0,0.0,0,0.0,0,0,0,0.0,0,0,1,1,0,0,0,1,0,0,0.0,100.0,,,REGIS_WBB
Regis (MA),33,"George, Bella",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,REGIS_WBB
Regis (MA),TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,2,2,4,,,,1,0,,4.65,100.0,,,REGIS_WBB
