Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",09:48,07:12,-1,02:36,1st Half,2.6,-0.38,-9.5,REGIS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",07:12,03:57,7,03:15,1st Half,3.25,2.15,53.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",03:57,02:35,3,01:22,1st Half,1.3666666666666667,2.2,55.0,REGIS_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'TURCO,MARY', 'GRAHAM,PIPER')",02:35,02:05,-1,00:30,1st Half,0.5,-2.0,-50.0,REGIS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'GRAHAM,PIPER')",02:05,00:55,0,01:10,1st Half,1.1666666666666667,0.0,0.0,REGIS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",00:55,00:55,-1,00:00,1st Half,0.0,-inf,-inf,REGIS_WBB
"('GORSKI,JENNY', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",00:55,00:22,-2,00:33,1st Half,0.55,-3.64,-91.0,REGIS_WBB
"('ANDRADE,SOPHIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",00:22,09:51,-1,09:29,2nd Half,9.483333333333333,-0.11,-2.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",09:51,08:16,-1,01:35,2nd Half,1.5833333333333335,-0.63,-15.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",08:16,05:52,-2,02:24,2nd Half,2.4,-0.83,-20.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",05:52,04:27,-1,01:25,2nd Half,1.4166666666666667,-0.71,-17.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",04:27,04:22,-2,00:05,2nd Half,0.08333333333333333,-24.0,-600.0,REGIS_WBB
"('WASIEWICZ,GABBY', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",04:22,03:22,2,01:00,2nd Half,1.0,2.0,50.0,REGIS_WBB
"('WASIEWICZ,GABBY', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",03:22,01:37,3,01:45,2nd Half,1.75,1.71,42.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE')",01:37,01:00,0,00:37,2nd Half,0.6166666666666667,0.0,0.0,REGIS_WBB
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE')",01:00,09:50,1,08:50,2nd Half,8.833333333333334,0.11,2.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",09:50,08:04,-2,01:46,2nd Half,1.7666666666666666,-1.13,-28.25,REGIS_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",08:04,07:36,-2,00:28,2nd Half,0.4666666666666667,-4.29,-107.25,REGIS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA', 'LEWIS,JADE')",07:36,05:50,4,01:46,2nd Half,1.7666666666666666,2.26,56.5,REGIS_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",05:50,05:08,0,00:42,2nd Half,0.7,0.0,0.0,REGIS_WBB
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",05:08,02:50,2,02:18,2nd Half,2.3,0.87,21.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",02:50,00:59,1,01:51,2nd Half,1.85,0.54,13.5,REGIS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",00:59,09:39,-5,08:40,2nd Half,8.666666666666666,-0.58,-14.5,REGIS_WBB
"('JOHNSTON,RAHMIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",09:39,08:23,0,01:16,2nd Half,1.2666666666666666,0.0,0.0,REGIS_WBB
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",08:23,05:35,3,02:48,2nd Half,2.8,1.07,26.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA', 'GRAHAM,PIPER')",05:35,04:39,2,00:56,2nd Half,0.9333333333333333,2.14,53.5,REGIS_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER')",04:39,04:30,-1,00:09,2nd Half,0.15,-6.67,-166.75,REGIS_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'BARRON,SHEA', 'GRAHAM,PIPER')",04:30,03:17,1,01:13,2nd Half,1.2166666666666668,0.82,20.5,REGIS_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",03:17,01:09,-6,02:08,2nd Half,2.1333333333333333,-2.81,-70.25,REGIS_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'BARRON,SHEA', 'GRAHAM,PIPER')",01:09,00:02,-2,01:07,2nd Half,1.1166666666666667,-1.79,-44.75,REGIS_WBB
