Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",-9.5,-0.38,02:36,REGIS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'BARRON,SHEA', 'GRAHAM,PIPER')",53.75,2.15,03:15,REGIS_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",55.0,2.2,01:22,REGIS_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'GRAHAM,PIPER')",-50.0,-2.0,00:30,REGIS_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'GRAHAM,PIPER')",0.0,0.0,01:10,REGIS_WBB
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",-inf,-inf,00:00,REGIS_WBB
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",-91.0,-3.64,00:33,REGIS_WBB
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",-2.75,-0.11,09:29,REGIS_WBB
"('ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",-15.75,-0.63,01:35,REGIS_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",-20.75,-0.83,02:24,REGIS_WBB
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",-17.75,-0.71,01:25,REGIS_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",-600.0,-24.0,00:05,REGIS_WBB
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",50.0,2.0,01:00,REGIS_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",42.75,1.71,01:45,REGIS_WBB
"('URIBE,TALIA', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'BARRON,SHEA')",0.0,0.0,00:37,REGIS_WBB
