Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,01,"Smith,Heaven",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,Rivier
Elms,02,"Guerrier,Phonia",1,1.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,2,0.0,0.0,100.0,0.0,Rivier
Elms,04,"Pacheco,Mia",3,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Rivier
Elms,10,"Turco,Mary",34,4.0,12.0,,0.0,0,,3,4.0,,1,4,5,2,6,2,6,1,11,3.57,30.36,33.33,33.33,Rivier
Elms,12,"Lewis,Jade",35,0.0,6.0,,0.0,3,,2,2.0,,3,0,3,2,1,0,7,2,2,10.0,50.43,0.0,33.33,Rivier
Elms,13,"Uribe,Talia",22,2.0,7.0,,0.0,0,,2,4.0,,6,4,10,1,0,0,6,2,6,18.18,40.65,28.57,57.14,Rivier
Elms,15,"Barron,Shea",21,0.0,5.0,,0.0,3,,3,5.0,,0,0,0,0,0,0,1,5,3,0.0,12.2,0.0,100.0,Rivier
Elms,20,"LeBel,Kelly",17,4.0,8.0,,1.0,4,,3,4.0,,1,3,4,0,4,0,1,0,12,3.57,9.29,56.25,50.0,Rivier
Elms,22,"Johnston,Rahmia",39,5.0,11.0,,3.0,6,,2,2.0,,0,2,2,2,2,0,1,1,15,0.0,7.76,59.09,18.18,Rivier
Elms,23,"Graham,Piper",17,0.0,4.0,,0.0,2,,3,4.0,,0,1,1,1,0,0,1,1,3,0.0,14.79,0.0,100.0,Rivier
Elms,24,"Andrade,Sophia",5,0.0,2.0,,0.0,1,,0,0.0,,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,Rivier
Elms,32,"Scott,Ta'Niyah",4,0.0,0.0,,0.0,0,,1,2.0,,0,0,0,0,0,0,0,0,1,0.0,0.0,,inf,Rivier
Elms,44,"Mildner,Stephanie",1,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,1,0,0,0,0,0,0.0,,,,Rivier
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,Rivier
Rivier,00,"Stawasz,Anna",3,0.0,1.0,,0.0,1,,0,0.0,,0,1,1,0,0,0,3,0,0,0.0,75.0,0.0,0.0,Rivier
Rivier,01,"Muchemore,Hannah",27,3.0,12.0,,2.0,7,,4,6.0,,1,1,2,4,5,0,3,1,12,6.25,17.01,33.33,50.0,Rivier
Rivier,04,"Rioux,Taylor",13,0.0,0.0,,0.0,0,,0,0.0,,1,1,2,1,1,1,1,0,0,6.25,100.0,,,Rivier
Rivier,05,"Carrier,Jessica",16,0.0,1.0,,0.0,0,,0,0.0,,2,5,7,3,0,0,4,2,0,11.76,80.0,0.0,0.0,Rivier
Rivier,13,"Scharn,Alyssa",24,1.0,3.0,,0.0,2,,0,0.0,,1,1,2,4,0,0,2,2,2,6.25,40.0,33.33,0.0,Rivier
Rivier,14,"Donato,Gianna",29,9.0,11.0,,3.0,5,,0,1.0,,0,2,2,1,2,1,3,4,21,0.0,20.78,95.45,9.09,Rivier
Rivier,20,"Perry,Sydney",15,4.0,7.0,,0.0,0,,2,2.0,,0,2,2,1,1,1,2,2,10,0.0,20.24,57.14,28.57,Rivier
Rivier,21,"Papatola,Lily",3,0.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Rivier
Rivier,23,"Grumblatt,Lyric",24,7.0,11.0,,0.0,1,,1,1.0,,3,3,6,5,1,0,1,1,15,16.67,8.04,63.64,9.09,Rivier
Rivier,24,"Coleman,Emily",13,1.0,3.0,,0.0,0,,0,0.0,,2,4,6,0,1,0,1,3,2,11.76,25.0,33.33,0.0,Rivier
Rivier,31,"Smith,Hannah",4,0.0,2.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Rivier
Rivier,32,"Guinn,Rachel",13,2.0,3.0,,2.0,2,,0,0.0,,0,3,3,1,0,0,1,2,6,0.0,25.0,100.0,0.0,Rivier
Rivier,33,"Dufries,Alexa",16,5.0,9.0,,2.0,4,,0,0.0,,0,1,1,3,1,0,1,2,12,0.0,10.0,66.67,0.0,Rivier
Rivier,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,1,1,,,,1,0,,0.0,100.0,,,Rivier
