Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",09:54,08:13,-3,01:41,1st Half,1.6833333333333333,-1.78,-44.5,Rivier
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",08:13,02:57,-9,05:16,1st Half,5.266666666666667,-1.71,-42.75,Rivier
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",02:57,02:21,-1,00:36,1st Half,0.6,-1.67,-41.75,Rivier
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",02:21,07:43,-1,05:22,2nd Half,5.366666666666666,-0.19,-4.75,Rivier
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",07:43,06:52,3,00:51,2nd Half,0.85,3.53,88.25,Rivier
"('LEBEL,KELLY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",06:52,05:45,-1,01:07,2nd Half,1.1166666666666667,-0.9,-22.5,Rivier
"('LEBEL,KELLY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",05:45,02:05,-7,03:40,2nd Half,3.6666666666666665,-1.91,-47.75,Rivier
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'GRAHAM,PIPER')",02:05,09:49,-6,07:44,2nd Half,7.733333333333333,-0.78,-19.5,Rivier
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",09:49,06:44,-6,03:05,2nd Half,3.0833333333333335,-1.95,-48.75,Rivier
"('URIBE,TALIA', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",06:44,05:50,0,00:54,2nd Half,0.9,0.0,0.0,Rivier
"('URIBE,TALIA', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'BARRON,SHEA')",05:50,03:54,-4,01:56,2nd Half,1.9333333333333333,-2.07,-51.75,Rivier
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",03:54,00:51,6,03:03,2nd Half,3.05,1.97,49.25,Rivier
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'SMITH,HEAVEN', 'LEWIS,JADE', 'TURCO,MARY')",00:51,10:00,-2,09:09,2nd Half,9.15,-0.22,-5.5,Rivier
"('LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER')",10:00,07:30,4,02:30,2nd Half,2.5,1.6,40.0,Rivier
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA')",07:30,03:49,1,03:41,2nd Half,3.6833333333333336,0.27,6.75,Rivier
"('URIBE,TALIA', 'PACHECO,MIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",03:49,01:00,1,02:49,2nd Half,2.8166666666666664,0.36,9.0,Rivier
"('PACHECO,MIA', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'SMITH,HEAVEN', 'LEWIS,JADE')",01:00,00:11,2,00:49,2nd Half,0.8166666666666667,2.45,61.25,Rivier
