Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-44.5,-1.78,01:41,Rivier
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA')",-42.75,-1.71,05:16,Rivier
"('LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",-41.75,-1.67,00:36,Rivier
"('GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'BARRON,SHEA')",-4.75,-0.19,05:22,Rivier
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",88.25,3.53,00:51,Rivier
"('LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-22.5,-0.9,01:07,Rivier
"('LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-47.75,-1.91,03:40,Rivier
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'BARRON,SHEA', 'JOHNSTON,RAHMIA')",-19.5,-0.78,07:44,Rivier
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-48.75,-1.95,03:05,Rivier
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,00:54,Rivier
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-51.75,-2.07,01:56,Rivier
"('LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",49.25,1.97,03:03,Rivier
"('LEWIS,JADE', 'SMITH,HEAVEN', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-5.5,-0.22,09:09,Rivier
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",40.0,1.6,02:30,Rivier
"('LEWIS,JADE', 'TURCO,MARY', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",6.75,0.27,03:41,Rivier
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'PACHECO,MIA')",9.0,0.36,02:49,Rivier
"('LEWIS,JADE', 'SMITH,HEAVEN', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'PACHECO,MIA')",61.25,2.45,00:49,Rivier
