Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,01,"Smith,Heaven",1,1.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,2,0.0,50.0,100.0,0.0,ST_JOSEPH_S(ME)_WBB
Elms,02,"Guerrier,Phonia",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,ST_JOSEPH_S(ME)_WBB
Elms,04,"Pacheco,Mia",3,0.0,1.0,,0.0,1,,0,0.0,,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,ST_JOSEPH_S(ME)_WBB
Elms,10,"Turco,Mary",18,2.0,6.0,,0.0,0,,1,3.0,,2,5,7,3,0,0,3,4,5,6.67,29.07,33.33,50.0,ST_JOSEPH_S(ME)_WBB
Elms,11,"Wasiewicz,Gabby",16,1.0,4.0,,0.0,3,,0,0.0,,0,1,1,0,3,0,0,1,2,0.0,0.0,25.0,0.0,ST_JOSEPH_S(ME)_WBB
Elms,12,"Lewis,Jade",31,2.0,10.0,,1.0,4,,6,8.0,,2,2,4,2,0,0,7,2,11,6.67,34.11,25.0,80.0,ST_JOSEPH_S(ME)_WBB
Elms,13,"Uribe,Talia",18,0.0,2.0,,0.0,0,,0,0.0,,3,0,3,1,0,0,2,1,0,9.68,50.0,0.0,0.0,ST_JOSEPH_S(ME)_WBB
Elms,14,"Gorski,Jenny",19,3.0,4.0,,0.0,1,,0,0.0,,0,2,2,1,0,0,1,0,6,0.0,20.0,75.0,0.0,ST_JOSEPH_S(ME)_WBB
Elms,15,"Barron,Shea",10,0.0,1.0,,0.0,1,,0,0.0,,0,1,1,1,0,0,1,3,0,0.0,50.0,0.0,0.0,ST_JOSEPH_S(ME)_WBB
Elms,20,"LeBel,Kelly",11,2.0,4.0,,1.0,3,,1,2.0,,0,2,2,0,1,0,1,0,6,0.0,17.01,62.5,50.0,ST_JOSEPH_S(ME)_WBB
Elms,22,"Johnston,Rahmia",33,6.0,14.0,,1.0,4,,3,3.0,,0,4,4,2,4,0,2,2,16,0.0,11.55,46.43,21.43,ST_JOSEPH_S(ME)_WBB
Elms,23,"Graham,Piper",28,1.0,9.0,,1.0,6,,0,0.0,,0,1,1,2,3,0,2,0,3,0.0,18.18,16.67,0.0,ST_JOSEPH_S(ME)_WBB
Elms,24,"Andrade,Sophia",8,0.0,1.0,,0.0,1,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,ST_JOSEPH_S(ME)_WBB
Elms,44,"Mildner,Stephanie",3,2.0,2.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,4,0.0,0.0,100.0,0.0,ST_JOSEPH_S(ME)_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,1,0,,0.0,100.0,,,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),10,"Russell,Maddie",17,2.0,5.0,,1.0,3,,2,2.0,,0,0,0,3,3,0,4,1,7,0.0,40.49,50.0,40.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),11,"Madore,Hayden",21,3.0,7.0,,1.0,5,,0,0.0,,0,2,2,1,0,0,1,2,7,0.0,12.5,50.0,0.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),12,"Gilbert,Cadance",14,0.0,1.0,,0.0,0,,0,0.0,,0,6,6,1,1,0,2,1,0,0.0,66.67,0.0,0.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),15,"Brown,Logan",19,6.0,13.0,,6.0,11,,0,0.0,,3,2,5,0,0,0,2,5,18,13.64,13.33,69.23,0.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),20,"Hurley,Angelica",17,3.0,6.0,,3.0,5,,0,0.0,,2,4,6,5,1,0,1,3,9,9.52,14.29,75.0,0.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),22,"Dube,Abby",19,1.0,3.0,,0.0,2,,0,0.0,,1,1,2,1,2,1,2,0,2,5.0,40.0,33.33,0.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),23,"Stapelfeld,Elisabeth",20,6.0,6.0,,1.0,1,,0,0.0,,1,0,1,3,1,0,3,1,13,5.0,33.33,108.33,0.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),24,"Lebel,Madison",17,4.0,4.0,,0.0,0,,1,2.0,,1,3,4,2,0,1,0,0,9,5.0,0.0,100.0,50.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),32,"Fiorillo,Lindsay",17,1.0,4.0,,0.0,3,,0,0.0,,2,0,2,3,1,0,1,1,2,9.52,20.0,25.0,0.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),33,"Ramsdell,Grace",23,3.0,10.0,,1.0,6,,2,2.0,,0,8,8,5,3,2,0,0,9,0.0,0.0,35.0,20.0,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),34,"Currie,Mackenzie",16,3.0,7.0,,0.0,1,,1,2.0,,1,2,3,0,0,0,1,0,7,5.0,11.26,42.86,28.57,ST_JOSEPH_S(ME)_WBB
St. Joseph's (ME),TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,ST_JOSEPH_S(ME)_WBB
