Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",09:49,06:50,0,02:59,1st Half,2.9833333333333334,0.0,0.0,ST_JOSEPH_S(ME)_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'GRAHAM,PIPER')",06:50,04:56,-8,01:54,1st Half,1.9,-4.21,-105.25,ST_JOSEPH_S(ME)_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'BARRON,SHEA')",04:56,04:40,-2,00:16,1st Half,0.26666666666666666,-7.5,-187.5,ST_JOSEPH_S(ME)_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA', 'BARRON,SHEA')",04:40,02:16,-3,02:24,1st Half,2.4,-1.25,-31.25,ST_JOSEPH_S(ME)_WBB
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",02:16,00:23,-1,01:53,1st Half,1.8833333333333333,-0.53,-13.25,ST_JOSEPH_S(ME)_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA')",00:23,07:53,-6,07:30,2nd Half,7.5,-0.8,-20.0,ST_JOSEPH_S(ME)_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'URIBE,TALIA')",07:53,06:09,0,01:44,2nd Half,1.7333333333333334,0.0,0.0,ST_JOSEPH_S(ME)_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'URIBE,TALIA')",06:09,05:13,0,00:56,2nd Half,0.9333333333333333,0.0,0.0,ST_JOSEPH_S(ME)_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'LEBEL,KELLY')",05:13,03:44,7,01:29,2nd Half,1.4833333333333334,4.72,118.0,ST_JOSEPH_S(ME)_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEBEL,KELLY')",03:44,03:04,-3,00:40,2nd Half,0.6666666666666666,-4.5,-112.5,ST_JOSEPH_S(ME)_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'ANDRADE,SOPHIA')",03:04,01:12,-4,01:52,2nd Half,1.8666666666666667,-2.14,-53.5,ST_JOSEPH_S(ME)_WBB
"('WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'ANDRADE,SOPHIA')",01:12,01:08,-1,00:04,2nd Half,0.06666666666666667,-15.0,-375.0,ST_JOSEPH_S(ME)_WBB
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'ANDRADE,SOPHIA', 'URIBE,TALIA')",01:08,09:47,-2,08:39,2nd Half,8.65,-0.23,-5.75,ST_JOSEPH_S(ME)_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",09:47,05:44,-5,04:03,2nd Half,4.05,-1.23,-30.75,ST_JOSEPH_S(ME)_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'TURCO,MARY', 'LEBEL,KELLY')",05:44,05:05,0,00:39,2nd Half,0.65,0.0,0.0,ST_JOSEPH_S(ME)_WBB
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'BARRON,SHEA', 'LEBEL,KELLY')",05:05,02:50,1,02:15,2nd Half,2.25,0.44,11.0,ST_JOSEPH_S(ME)_WBB
