Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-30.75,-1.23,07:02,ST_JOSEPH_S(ME)_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-28.75,-1.15,03:32,ST_JOSEPH_S(ME)_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-187.5,-7.5,00:16,ST_JOSEPH_S(ME)_WBB
"('BARRON,SHEA', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-31.25,-1.25,02:24,ST_JOSEPH_S(ME)_WBB
"('GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-13.25,-0.53,01:53,ST_JOSEPH_S(ME)_WBB
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-20.0,-0.8,07:30,ST_JOSEPH_S(ME)_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0.0,0.0,01:44,ST_JOSEPH_S(ME)_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",0.0,0.0,00:56,ST_JOSEPH_S(ME)_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",118.0,4.72,01:29,ST_JOSEPH_S(ME)_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",-112.5,-4.5,00:40,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",-53.5,-2.14,01:52,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-375.0,-15.0,00:04,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",-5.75,-0.23,08:39,ST_JOSEPH_S(ME)_WBB
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",0.0,0.0,00:39,ST_JOSEPH_S(ME)_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",11.0,0.44,02:15,ST_JOSEPH_S(ME)_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-79.0,-3.16,01:16,ST_JOSEPH_S(ME)_WBB
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-47.5,-1.9,01:03,ST_JOSEPH_S(ME)_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",-3.25,-0.13,07:58,ST_JOSEPH_S(ME)_WBB
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY')",-30.5,-1.22,01:38,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY')",-32.25,-1.29,01:33,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE')",115.5,4.62,01:05,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",0.0,0.0,01:41,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'GUERRIER,PHONIA', 'JOHNSTON,RAHMIA', 'PACHECO,MIA', 'SMITH,HEAVEN')",62.5,2.5,00:48,ST_JOSEPH_S(ME)_WBB
