Player,Plus/Minus,Game
"JOHNSTON,RAHMIA",-16,ST_JOSEPH_S(ME)_WBB
"URIBE,TALIA",-24,ST_JOSEPH_S(ME)_WBB
"TURCO,MARY",-19,ST_JOSEPH_S(ME)_WBB
"LEWIS,JADE",-27,ST_JOSEPH_S(ME)_WBB
"GRAHAM,PIPER",-28,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY",-7,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA",-9,ST_JOSEPH_S(ME)_WBB
"WASIEWICZ,GABBY",-15,ST_JOSEPH_S(ME)_WBB
"LEBEL,KELLY",-5,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA",-2,ST_JOSEPH_S(ME)_WBB
"MILDNER,STEPHANIE",5,ST_JOSEPH_S(ME)_WBB
"PACHECO,MIA",3,ST_JOSEPH_S(ME)_WBB
"SMITH,HEAVEN",2,ST_JOSEPH_S(ME)_WBB
"GUERRIER,PHONIA",2,ST_JOSEPH_S(ME)_WBB
